tic_id,name,toi,sector,period_days,t0_bjd,duration_hours,depth_ppm,r_star_rsun,m_star_msun,expected_disp
394561119,TOI-1107.01,1107.01,,4.078239,2460853.1784,4.91,6667.7,1.75,1.0,CP
355703913,TOI-111.01,111.01,,2.106157,2458326.1055,1.47,12142.2,0.94,1.0,KP
304100538,TOI-1116.01,1116.01,,5.010071,2458325.6619,2.06,409.5,0.91,1.0,PC
295541511,TOI-1117.01,1117.01,,2.228162,2459386.9638,2.02,630.0,1.02,1.0,PC
388104525,TOI-112.01,112.01,,2.4998,2460069.7736,2.87,14621.2,1.14,1.0,KP
80166433,TOI-1125.01,1125.01,,0.772482,2459036.4951,1.37,211.3,2.5,1.0,PC
97409519,TOI-113.01,113.01,,3.372877,2458327.0531,2.63,17163.6,1.02,1.0,KP
254113311,TOI-1130.01,1130.01,,8.34998,2460144.1371,1.84,16680.0,0.74,1.0,CP
254113311,TOI-1130.02,1130.02,,4.06864,2460126.9243,1.84,2650.1,0.74,1.0,CP
198213332,TOI-1131.01,1131.01,,0.586037,2458711.5954,0.81,410.5,2.4,1.0,PC
154872375,TOI-1135.01,1135.01,,8.027733,2460658.9743,4.28,5705.0,1.15,1.0,CP
142276270,TOI-1136.01,1136.01,,12.518728,2459612.4477,5.38,2320.0,0.98,1.0,CP
142276270,TOI-1136.02,1136.02,,6.258606,2460366.0265,3.2,813.0,0.98,1.0,CP
142276270,TOI-1136.03,1136.03,,26.320876,2459594.1835,4.41,800.0,0.98,1.0,CP
142276270,TOI-1136.04,1136.04,,18.795547,2458697.7558,4.34,470.7,0.98,1.0,CP
89389197,TOI-1137.01,1137.01,,1.320636,2459770.2406,1.6,1052.4,6.31,1.0,PC
202563254,TOI-1139.01,1139.01,,4.47808,2460549.4459,4.51,1054.0,1.83,1.0,PC
25155310,TOI-114.01,114.01,,3.28879,2458327.52,3.44,7005.7,1.24,1.0,KP
28230919,TOI-1144.01,1144.01,,4.887804,2460554.347,2.18,4279.0,0.76,1.0,KP
349827430,TOI-1148.01,1148.01,,5.551489,2460361.3665,4.33,9493.0,1.55,1.0,KP
281541555,TOI-115.01,115.01,,4.742371,2458329.9032,2.5,12650.8,0.88,1.0,KP
16740101,TOI-1150.01,1150.01,,1.48109,2458683.4576,4.16,6788.5,2.29,1.0,KP
69679391,TOI-1151.01,1151.01,,3.474101,2460337.9864,3.32,15748.0,1.62,1.0,KP
459970307,TOI-1154.01,1154.01,,21.745537,2460339.3287,4.2,659.0,0.93,1.0,CP
238176110,TOI-116.01,116.01,,2.79858,2458326.6889,2.38,16708.7,0.91,1.0,KP
158324245,TOI-1161.01,1161.01,,1.763588,2460556.4841,3.09,6650.0,1.0,1.0,KP
13419950,TOI-1162.01,1162.01,,7.316668,2460544.8156,3.25,3210.0,1.0,1.0,PC
375542276,TOI-1163.01,1163.01,,3.077161,2459441.8013,2.69,4703.3,1.0,1.0,PC
458478250,TOI-1165.01,1165.01,,2.255285,2460352.8234,2.05,20820.0,0.96,1.0,KP
302518439,TOI-1169.01,1169.01,,6.707543,2460323.7605,2.12,11920.0,1.24,1.0,PC
322307342,TOI-117.01,117.01,,3.586296,2459063.6558,3.37,5729.3,2.0,1.0,KP
232967440,TOI-1173.01,1173.01,,7.064398,2460341.7843,2.42,8268.0,0.96,1.0,CP
154089169,TOI-1174.01,1174.01,,8.953477,2460355.4033,2.7,1136.0,0.76,1.0,CP
230088370,TOI-1176.01,1176.01,,14.007767,2458695.3618,5.87,5924.8,1.57,1.0,PC
266980320,TOI-118.01,118.01,,6.034463,2460899.8838,2.05,1750.6,1.05,1.0,CP
158002130,TOI-1180.01,1180.01,,9.686752,2460473.4115,2.51,1669.0,0.73,1.0,CP
229510866,TOI-1181.01,1181.01,,2.103165,2460556.2424,5.06,7142.0,1.93,1.0,CP
233087860,TOI-1184.01,1184.01,,5.748444,2460558.3504,1.76,1041.0,0.69,1.0,CP
372757221,TOI-1187.01,1187.01,,2.594197,2460310.0892,0.86,907.0,1.4,1.0,PC
112026224,TOI-1189.01,1189.01,,3.968799,2459441.2865,1.07,1760.0,1.0,1.0,PC
278683844,TOI-119.01,119.01,,5.541111,2460987.3486,2.41,597.3,0.82,1.0,PC
278683844,TOI-119.02,119.02,,10.69173,2460979.5938,3.05,498.5,0.82,1.0,PC
147950620,TOI-1194.01,1194.01,,2.310643,2460367.0722,1.29,6911.0,0.99,1.0,CP
69068526,TOI-1196.01,1196.01,,5.537662,2459785.4982,2.52,5390.0,2.06,1.0,PC
92677094,TOI-1197.01,1197.01,,4.596038,2459787.1322,4.74,5000.0,2.12,1.0,PC
203189770,TOI-1198.01,1198.01,,3.612771,2460551.0404,4.14,11794.0,1.71,1.0,KP
99869022,TOI-1199.01,1199.01,,3.671472,2460360.4347,2.15,4340.0,1.54,1.0,CP
394137592,TOI-120.01,120.01,,11.535076,2458332.0828,8.56,2389.9,2.49,1.0,CP
29960110,TOI-1201.01,1201.01,,2.491977,2458411.6709,1.43,2094.0,0.48,1.0,CP
23434737,TOI-1203.01,1203.01,,25.519531,2458553.0621,6.69,558.4,1.17,1.0,CP
467666275,TOI-1204.01,1204.01,,1.381212,2458569.941,2.74,117.8,1.78,1.0,PC
287776397,TOI-1205.01,1205.01,,2.39227,2458383.2412,9.01,63.6,4.2,1.0,PC
364393429,TOI-1207.01,1207.01,,2.628255,2458325.5397,2.09,75.3,1.11,1.0,PC
273985865,TOI-1208.01,1208.01,,3.423944,2458327.4767,1.96,443.6,0.82,1.0,PC
273985865,TOI-1208.02,1208.02,,10.983042,2458331.1203,3.75,725.2,0.82,1.0,PC
273985865,TOI-1208.03,1208.03,,17.726449,2458341.8017,3.44,747.8,0.82,1.0,PC
30037565,TOI-1209.01,1209.01,,40.719939,2458337.0883,4.24,355.6,1.56,1.0,PC
50312495,TOI-1211.01,1211.01,,18.166364,2460180.1464,2.46,624.0,1.14,1.0,PC
389924075,TOI-1212.01,1212.01,,105.585089,2458402.0365,11.61,462.9,1.11,1.0,PC
451606970,TOI-1214.01,1214.01,,19.180657,2460821.1473,3.72,615.9,0.94,1.0,PC
453260209,TOI-1215.01,1215.01,,1.212445,2460853.4299,1.03,284.0,0.52,1.0,PC
