tic_id,name,status,period_days,depth_ppm,offset_arcsec,offset_sigma,fpp,nfpp,rp_rs,density_g_cm3
88863718,TOI-1001.01,PASSED,1.931646,1286.0,4.04,2.7,3.1100e-04,0.0000e+00,0.0361,1.8085046805832705
65212867,TOI-1007.01,PASSED,6.998921,2840.0,1.38,1.3,9.3100e-04,0.0000e+00,0.0539,4.962497490168953
124709665,TOI-1002.01,REJECTED_FP,1.867557,1500.0,51.29,181.1,1.0000e+00,0.0000e+00,0.0089,N/A
