bjd,rv_ms,rv_err_ms,instrument
2457782.656960,-6852.510,3.560,HARPS-N
2457783.617123,-6882.440,5.810,HARPS-N
2457783.722758,-6875.680,8.830,HARPS-N
2457802.588628,-6880.410,6.150,HARPS-N
2457802.622472,-6874.490,4.280,HARPS-N
2457802.691549,-6879.060,5.780,HARPS-N
2457803.584811,-6843.170,6.680,HARPS-N
2457803.620269,-6843.420,5.740,HARPS-N
2457803.681762,-6834.320,5.360,HARPS-N
2457806.562305,-6852.410,4.990,HARPS-N
2457806.599080,-6841.270,5.550,HARPS-N
2457806.643392,-6840.560,5.590,HARPS-N
2457807.595090,-6876.380,3.500,HARPS-N
2457807.644195,-6868.430,3.440,HARPS-N
2457807.680167,-6860.850,3.510,HARPS-N
2457808.612798,-6862.690,4.930,HARPS-N
2457808.696105,-6864.820,4.210,HARPS-N
2457808.730730,-6866.810,3.910,HARPS-N
2457811.573660,-6895.920,11.000,HARPS-N
2457811.646610,-6873.650,5.130,HARPS-N
2457812.591954,-6846.910,3.900,HARPS-N
2457812.668902,-6850.770,4.010,HARPS-N
2457812.721919,-6860.090,4.380,HARPS-N
2457813.535417,-6878.920,3.930,HARPS-N
2457813.563610,-6873.220,5.160,HARPS-N
2457813.585108,-6870.770,3.490,HARPS-N
2457813.608422,-6882.570,4.070,HARPS-N
2457813.635794,-6864.210,4.960,HARPS-N
2457813.657377,-6869.710,4.860,HARPS-N
2457813.682478,-6861.140,10.380,HARPS-N
2457816.557042,-6862.870,6.760,HARPS-N
2457816.649335,-6867.570,8.000,HARPS-N
2457816.699843,-6868.190,8.460,HARPS-N
2457833.582807,-6840.580,6.430,HARPS-N
2457834.494315,-6870.360,8.590,HARPS-N
2457835.559648,-6854.180,5.530,HARPS-N
2457835.658575,-6854.770,5.860,HARPS-N
2457836.483013,-6824.630,6.850,HARPS-N
2457836.508851,-6833.690,7.250,HARPS-N
2457836.533957,-6827.540,5.870,HARPS-N
2457836.558157,-6833.650,4.910,HARPS-N
2457836.583009,-6836.710,4.500,HARPS-N
2457836.607363,-6847.980,3.870,HARPS-N
2457836.631607,-6841.470,4.260,HARPS-N
2457836.655834,-6855.360,4.970,HARPS-N
2457837.475555,-6876.720,4.860,HARPS-N
2457837.497817,-6886.090,5.850,HARPS-N
2457837.520470,-6883.470,3.820,HARPS-N
2457837.541836,-6875.750,5.160,HARPS-N
2457837.564699,-6871.210,12.030,HARPS-N
2457838.524769,-6896.280,3.160,HARPS-N
2457838.549229,-6896.820,3.300,HARPS-N
2457838.573750,-6895.850,3.230,HARPS-N
2457838.598483,-6893.460,3.610,HARPS-N
2457838.622496,-6895.970,4.490,HARPS-N
2457838.647484,-6888.120,4.840,HARPS-N
2457844.441322,-6880.410,4.480,HARPS-N
2457844.471098,-6872.230,4.050,HARPS-N
2457844.495226,-6874.920,4.410,HARPS-N
2457844.519375,-6870.260,5.010,HARPS-N
2457844.544459,-6876.790,6.140,HARPS-N
2457844.568667,-6869.110,6.530,HARPS-N
2457844.593044,-6859.300,8.710,HARPS-N
2457860.516102,-6852.930,5.670,HARPS-N
2457861.541657,-6875.770,5.170,HARPS-N
2457862.532386,-6876.690,3.720,HARPS-N
2457863.573281,-6835.700,7.760,HARPS-N
2457864.495823,-6823.870,3.280,HARPS-N
2457864.555174,-6820.510,3.110,HARPS-N
2457865.504391,-6888.150,6.110,HARPS-N
2457865.578464,-6887.970,5.260,HARPS-N
2457879.492831,-6877.830,3.710,HARPS-N
2457880.480508,-6867.090,3.850,HARPS-N
2457881.488157,-6862.710,3.490,HARPS-N
2458184.639467,-6832.230,4.700,HARPS-N
2458185.581479,-6819.760,6.930,HARPS-N
2458188.623075,-6852.070,4.490,HARPS-N
2458188.725945,-6852.030,4.980,HARPS-N
2458189.555894,-6819.480,5.770,HARPS-N
2458189.660254,-6822.790,4.420,HARPS-N
2458190.581039,-6878.760,3.810,HARPS-N
2458243.483383,-6830.250,8.250,HARPS-N
2458245.462657,-6883.620,4.410,HARPS-N
