bjd,rv_ms,rv_err_ms,instrument
2456114.659741,-10607.100,2.790,HARPS-N
2456114.680957,-10609.050,3.160,HARPS-N
2456115.613783,-10626.310,2.630,HARPS-N
2456115.634976,-10620.530,2.460,HARPS-N
2456116.569283,-10611.960,2.440,HARPS-N
2456116.590499,-10615.280,2.330,HARPS-N
2456117.532259,-10614.000,2.320,HARPS-N
2456117.553498,-10616.490,2.200,HARPS-N
2456125.661448,-10616.750,3.640,HARPS-N
2456125.682675,-10611.800,4.460,HARPS-N
2456126.577345,-10612.240,2.760,HARPS-N
2456126.598560,-10610.680,3.070,HARPS-N
2456127.544422,-10616.070,2.060,HARPS-N
2456127.565649,-10615.900,2.400,HARPS-N
2456128.609565,-10619.250,2.750,HARPS-N
2456128.630781,-10617.980,2.910,HARPS-N
2456152.598560,-10610.920,2.980,HARPS-N
2456153.451659,-10606.040,2.660,HARPS-N
2456153.472874,-10606.450,2.500,HARPS-N
2456161.439218,-10617.860,4.260,HARPS-N
2456161.460433,-10609.930,4.490,HARPS-N
2456245.361006,-10762.520,3.800,HARPS-N
2456252.365395,-10765.810,2.960,HARPS-N
2456529.543369,-10758.340,2.620,HARPS-N
2456544.377461,-10760.610,2.280,HARPS-N
2456545.513584,-10756.680,2.600,HARPS-N
2456546.424905,-10755.440,2.690,HARPS-N
2456548.500011,-10761.430,5.480,HARPS-N
2456549.496322,-10766.740,2.440,HARPS-N
2456557.444306,-10769.000,2.390,HARPS-N
2456564.501379,-10760.320,2.380,HARPS-N
2456572.479650,-10762.930,2.080,HARPS-N
2456580.368404,-10760.070,2.410,HARPS-N
2456582.445697,-10754.520,2.620,HARPS-N
2456605.393676,-10766.850,3.430,HARPS-N
2456762.686938,-10774.310,4.890,HARPS-N
2456764.671652,-10767.890,3.280,HARPS-N
2456765.665852,-10765.070,2.820,HARPS-N
2456783.724619,-10757.680,2.190,HARPS-N
2456784.681608,-10760.580,2.420,HARPS-N
2456800.609310,-10770.590,2.140,HARPS-N
2456800.630566,-10768.040,2.340,HARPS-N
2456831.625544,-10764.130,2.380,HARPS-N
2456831.647217,-10762.130,2.510,HARPS-N
2456832.662539,-10758.520,2.070,HARPS-N
2456832.683352,-10761.360,2.660,HARPS-N
2456834.549641,-10756.230,2.820,HARPS-N
2456835.689127,-10755.040,2.720,HARPS-N
2456847.566873,-10759.090,2.720,HARPS-N
2456848.585730,-10765.500,2.510,HARPS-N
2456849.519673,-10759.140,3.020,HARPS-N
2456850.549118,-10768.910,6.430,HARPS-N
2456851.566729,-10761.630,2.420,HARPS-N
2456852.567225,-10760.750,3.540,HARPS-N
2456853.569676,-10761.990,2.620,HARPS-N
2456862.502306,-10761.250,2.730,HARPS-N
2456863.470092,-10765.110,2.660,HARPS-N
2456864.465181,-10764.160,2.100,HARPS-N
2456865.499023,-10764.380,2.280,HARPS-N
2456866.449516,-10764.370,2.450,HARPS-N
2456883.478701,-10769.230,2.640,HARPS-N
2456883.500221,-10765.830,3.390,HARPS-N
2456884.427629,-10771.530,2.820,HARPS-N
2456884.449578,-10768.890,2.700,HARPS-N
2456885.428282,-10769.270,2.910,HARPS-N
2456885.449547,-10767.380,2.740,HARPS-N
2456886.426906,-10764.370,2.430,HARPS-N
2456886.447261,-10763.270,2.390,HARPS-N
2456887.428329,-10764.750,3.390,HARPS-N
2456887.450228,-10771.240,3.560,HARPS-N
2456888.439427,-10764.140,4.050,HARPS-N
2456888.461544,-10760.340,4.700,HARPS-N
2456889.443494,-10761.580,3.120,HARPS-N
2456889.464590,-10758.000,2.970,HARPS-N
2456890.585198,-10760.700,3.820,HARPS-N
2456891.481961,-10768.110,1.780,HARPS-N
2456891.498374,-10762.860,2.310,HARPS-N
2456903.426564,-10762.610,2.130,HARPS-N
2456903.447955,-10760.060,2.090,HARPS-N
2456919.431790,-10767.360,4.380,HARPS-N
2456919.450917,-10763.830,2.730,HARPS-N
2456922.456602,-10764.490,3.150,HARPS-N
2456922.478103,-10760.920,3.000,HARPS-N
2456923.387914,-10762.760,2.210,HARPS-N
2456923.409507,-10760.590,2.260,HARPS-N
2456924.465579,-10757.610,2.010,HARPS-N
2456924.486264,-10761.820,2.130,HARPS-N
2456931.446107,-10769.580,4.610,HARPS-N
2456931.467526,-10760.830,3.300,HARPS-N
2456934.477714,-10766.790,2.320,HARPS-N
2456934.498740,-10764.430,2.840,HARPS-N
2456936.354695,-10774.250,2.060,HARPS-N
2456936.377052,-10772.700,2.020,HARPS-N
2456961.434219,-10765.930,2.720,HARPS-N
2456967.351364,-10765.220,2.430,HARPS-N
2456968.352222,-10771.900,3.750,HARPS-N
2456969.357020,-10765.580,4.000,HARPS-N
2458678.671703,-10761.480,3.200,HARPS-N
2458705.618811,-10760.530,1.990,HARPS-N
2458718.547819,-10749.010,6.010,HARPS-N
2458745.465908,-10764.150,2.270,HARPS-N
2458988.713474,-10760.480,2.720,HARPS-N
2459019.701555,-10758.830,2.410,HARPS-N
2459026.711461,-10750.580,2.910,HARPS-N
