bjd,rv_ms,rv_err_ms,instrument
2455166.823816,49790.280,4.370,CORALIE
2455168.818293,49937.180,4.300,CORALIE
2455170.843144,49792.300,4.220,CORALIE
2455172.823757,49925.300,4.600,CORALIE
2455174.848669,49814.060,4.110,CORALIE
2455175.847912,49797.260,3.940,CORALIE
2455176.822675,49880.610,4.150,CORALIE
2455179.841728,49788.840,4.070,CORALIE
2455180.855777,49861.090,4.100,CORALIE
2455181.821107,49941.370,4.210,CORALIE
2455182.851326,49876.470,4.870,CORALIE
2455184.854573,49843.150,4.440,CORALIE
2455186.829124,49905.820,4.610,CORALIE
2455190.850073,49915.240,4.450,CORALIE
2455261.773207,49768.630,4.880,CORALIE
2455262.671557,49819.140,4.120,CORALIE
2455372.506956,49873.080,4.970,CORALIE
2455375.601158,49879.720,6.960,CORALIE
2455376.516173,49895.620,7.960,CORALIE
2455380.516216,49892.170,4.820,CORALIE
2455391.496304,49763.090,5.290,CORALIE
2455399.471057,49769.460,4.780,CORALIE
2455403.467450,49815.860,4.890,CORALIE
2455410.471115,49891.340,4.850,CORALIE
