bjd,rv_ms,rv_err_ms,instrument
2457044.650768,3.500,1.650,HARPS-N
2457044.672286,-0.320,1.780,HARPS-N
2457045.643058,-4.790,2.130,HARPS-N
2457045.664853,-0.510,1.560,HARPS-N
2457046.646689,-5.490,2.060,HARPS-N
2457046.667941,-3.060,1.490,HARPS-N
2457047.742398,-5.070,2.460,HARPS-N
2457047.764761,-4.130,2.190,HARPS-N
2457048.633577,0.360,2.480,HARPS-N
2457048.655662,0.330,3.100,HARPS-N
2457050.619557,0.180,1.880,HARPS-N
2457051.686682,4.060,1.550,HARPS-N
2457051.703986,-1.730,1.970,HARPS-N
2457053.674750,5.580,2.280,HARPS-N
2457054.695340,5.480,1.120,HARPS-N
2457054.716499,2.490,1.310,HARPS-N
2457068.668358,-0.550,4.660,HARPS-N
2457068.689366,-5.120,3.390,HARPS-N
2457069.655858,1.740,2.220,HARPS-N
2457070.588979,-5.290,3.390,HARPS-N
2457070.610183,6.470,2.260,HARPS-N
2457070.630462,-0.580,2.210,HARPS-N
2457074.710838,-1.450,2.610,HARPS-N
2457074.731429,-2.380,3.370,HARPS-N
2457095.480801,5.330,1.360,HARPS-N
2457095.501669,3.400,1.920,HARPS-N
2457097.496948,12.070,3.760,HARPS-N
2457097.518233,8.310,2.950,HARPS-N
2457099.505659,8.000,2.530,HARPS-N
2457099.528471,2.010,2.510,HARPS-N
2457106.482544,-2.290,2.020,HARPS-N
2457106.604000,-1.760,2.250,HARPS-N
2457107.452701,-3.480,1.850,HARPS-N
2457107.636818,-3.170,2.080,HARPS-N
2457108.466386,-3.370,2.340,HARPS-N
2457108.485807,-4.720,1.880,HARPS-N
2457109.562070,0.710,2.540,HARPS-N
2457109.584071,8.280,2.930,HARPS-N
2457112.564128,-1.190,3.600,HARPS-N
2457117.494291,-3.880,1.390,HARPS-N
2457117.515760,-2.450,1.460,HARPS-N
2457118.523341,-2.680,1.630,HARPS-N
2457118.544428,-5.200,1.450,HARPS-N
2457121.536004,2.410,1.250,HARPS-N
2457121.556674,3.290,1.260,HARPS-N
2457122.535801,6.990,1.260,HARPS-N
2457122.556980,6.960,1.420,HARPS-N
2457123.562389,5.990,2.180,HARPS-N
2457123.582573,3.190,2.170,HARPS-N
2457124.367642,3.600,1.630,HARPS-N
2457125.600040,-1.540,1.310,HARPS-N
2457137.564079,0.970,1.530,HARPS-N
2457137.584553,3.900,2.290,HARPS-N
2457139.435857,1.120,1.380,HARPS-N
2457139.456191,1.570,1.360,HARPS-N
2457140.536745,4.620,2.720,HARPS-N
2457140.556396,-1.230,2.500,HARPS-N
2457145.459248,-2.740,2.580,HARPS-N
2457145.482117,-0.920,4.250,HARPS-N
2457146.546946,-2.240,2.260,HARPS-N
2457146.567639,0.260,2.490,HARPS-N
2457147.423259,-5.440,1.550,HARPS-N
2457147.444704,-1.060,1.960,HARPS-N
2457148.481952,-5.510,1.780,HARPS-N
2457148.503814,-4.710,1.670,HARPS-N
2457153.462279,2.110,1.790,HARPS-N
2457153.483389,0.370,2.090,HARPS-N
2457156.460436,-0.130,5.130,HARPS-N
2457156.481997,-6.430,4.640,HARPS-N
2457159.447717,2.790,1.450,HARPS-N
2457159.468873,0.060,1.470,HARPS-N
2457160.464898,3.470,1.360,HARPS-N
2457160.485510,-1.840,1.460,HARPS-N
2457161.441943,-1.760,1.620,HARPS-N
2457161.463700,0.410,1.780,HARPS-N
2457172.428247,4.810,1.520,HARPS-N
2457173.405377,6.940,1.890,HARPS-N
2457173.427354,-0.830,2.450,HARPS-N
2457175.397295,4.430,1.330,HARPS-N
2457175.417952,5.770,1.190,HARPS-N
2457176.403345,3.120,1.460,HARPS-N
2457176.423204,3.060,1.650,HARPS-N
2457177.417125,-1.130,1.270,HARPS-N
2457177.437980,0.040,1.130,HARPS-N
2457178.399704,-6.250,2.110,HARPS-N
2457178.420154,-0.670,2.040,HARPS-N
2457180.393112,1.820,1.700,HARPS-N
2457180.414534,-0.960,2.500,HARPS-N
2457181.406729,-1.970,1.350,HARPS-N
2457181.427989,-4.270,1.300,HARPS-N
2457182.397177,-2.670,1.680,HARPS-N
2457182.419640,-5.980,1.520,HARPS-N
2457185.396261,-2.080,1.320,HARPS-N
2457185.417833,-4.790,1.360,HARPS-N
2457186.393397,-7.180,2.480,HARPS-N
2457188.397218,-3.220,1.390,HARPS-N
2457189.397838,0.380,2.230,HARPS-N
2457189.418426,-1.380,2.250,HARPS-N
2457190.394049,-4.930,2.430,HARPS-N
2457190.413318,-0.620,2.440,HARPS-N
2457191.394727,2.250,1.220,HARPS-N
2457191.416056,0.720,1.310,HARPS-N
2457192.395555,1.660,1.430,HARPS-N
2457192.416386,-2.280,1.140,HARPS-N
2457193.398501,2.340,1.230,HARPS-N
2457193.419275,2.910,1.270,HARPS-N
2457203.390157,2.960,2.080,HARPS-N
2457204.393106,-2.720,3.030,HARPS-N
2457379.718744,-5.410,1.330,HARPS-N
2457379.740008,-5.960,1.080,HARPS-N
2457380.733903,-6.620,1.630,HARPS-N
2457380.755410,-3.450,1.750,HARPS-N
2457381.761274,-0.380,2.500,HARPS-N
2457381.782178,0.660,2.780,HARPS-N
2457384.724819,3.060,1.660,HARPS-N
2457384.744913,2.790,1.790,HARPS-N
2457385.724315,-1.990,1.660,HARPS-N
2457385.743472,-2.340,1.850,HARPS-N
2457390.709219,-0.950,1.990,HARPS-N
2457390.731084,-0.510,1.250,HARPS-N
2457391.692796,3.280,1.630,HARPS-N
2457391.762953,6.450,1.900,HARPS-N
2457407.659392,-7.060,1.630,HARPS-N
2457408.612351,-7.250,1.480,HARPS-N
2457408.633094,-6.630,1.880,HARPS-N
2457421.692675,2.350,2.430,HARPS-N
2457421.713463,-3.170,2.140,HARPS-N
2457422.717695,1.870,1.900,HARPS-N
2457422.737198,2.880,1.350,HARPS-N
2457432.607342,2.940,1.660,HARPS-N
2457432.628211,1.560,1.730,HARPS-N
2457433.700416,2.250,1.620,HARPS-N
2457433.720915,0.950,2.160,HARPS-N
2457445.576312,-3.920,1.780,HARPS-N
2457445.597099,-0.510,2.260,HARPS-N
