bjd,rv_ms,rv_err_ms,instrument
2456462.687071,27187.630,0.990,HARPS-N
2456463.585847,27188.420,0.920,HARPS-N
2456464.608941,27188.240,1.780,HARPS-N
2456465.607826,27191.830,0.970,HARPS-N
2456466.609946,27189.300,0.820,HARPS-N
2456479.507994,27191.990,0.790,HARPS-N
2456480.515358,27190.360,0.920,HARPS-N
2456481.507813,27187.490,1.460,HARPS-N
2456482.496905,27187.120,1.040,HARPS-N
2456495.687006,27187.380,1.070,HARPS-N
2456496.673668,27184.180,1.170,HARPS-N
2456498.692661,27193.040,1.270,HARPS-N
2456500.484997,27189.470,1.150,HARPS-N
2456510.580278,27189.320,0.930,HARPS-N
2456530.576531,27189.370,0.860,HARPS-N
2456545.461953,27192.580,0.890,HARPS-N
2456549.474297,27191.450,0.880,HARPS-N
2456554.397745,27197.820,1.290,HARPS-N
2456557.422004,27190.600,0.780,HARPS-N
2456562.486428,27187.260,1.380,HARPS-N
2456563.397840,27194.490,0.940,HARPS-N
2456564.370021,27191.110,0.720,HARPS-N
2456565.380932,27191.430,0.810,HARPS-N
2456567.372628,27188.940,0.740,HARPS-N
2456571.370033,27190.250,1.280,HARPS-N
2456572.456164,27190.680,0.760,HARPS-N
2456573.376405,27194.100,0.900,HARPS-N
2456580.317360,27191.850,0.890,HARPS-N
2456581.387972,27187.040,1.110,HARPS-N
2456582.353398,27191.090,1.030,HARPS-N
2456584.336699,27191.350,0.870,HARPS-N
2456602.380113,27194.560,1.200,HARPS-N
2456603.386024,27190.040,0.870,HARPS-N
2456604.384367,27190.270,0.960,HARPS-N
2456611.306522,27196.010,1.130,HARPS-N
2456720.760325,27199.120,1.150,HARPS-N
2456737.760179,27199.870,1.250,HARPS-N
2456762.710365,27200.500,1.190,HARPS-N
2456764.738259,27201.030,1.160,HARPS-N
2456765.687144,27197.500,1.110,HARPS-N
2456769.626079,27199.270,1.100,HARPS-N
2456783.654833,27196.590,0.790,HARPS-N
2456784.634652,27198.710,0.930,HARPS-N
2456785.688355,27197.920,1.100,HARPS-N
2456798.697716,27198.400,0.750,HARPS-N
2456799.602134,27200.060,0.880,HARPS-N
2456800.652078,27200.660,1.000,HARPS-N
2456801.542851,27200.750,0.910,HARPS-N
2456802.560381,27197.150,2.190,HARPS-N
2456803.610318,27194.850,1.060,HARPS-N
2456813.645706,27199.130,0.720,HARPS-N
2456814.670895,27203.530,0.800,HARPS-N
2456815.594026,27200.040,0.710,HARPS-N
2456816.568903,27197.070,0.770,HARPS-N
2456828.505375,27201.690,0.920,HARPS-N
2456829.468551,27199.900,1.150,HARPS-N
2456830.630863,27199.300,1.040,HARPS-N
2456831.669773,27197.930,0.930,HARPS-N
2456832.514777,27198.780,0.870,HARPS-N
2456833.555855,27201.480,1.130,HARPS-N
2456834.527024,27201.490,1.010,HARPS-N
2456834.702498,27200.360,1.020,HARPS-N
2456835.545614,27200.750,0.950,HARPS-N
2456835.667086,27196.350,1.030,HARPS-N
2456836.661094,27200.050,1.510,HARPS-N
2456845.509531,27198.330,0.840,HARPS-N
2456846.436852,27198.730,0.910,HARPS-N
2456847.612756,27204.190,1.460,HARPS-N
2456848.631744,27203.070,0.970,HARPS-N
2456849.564270,27197.300,1.150,HARPS-N
2456850.593111,27196.920,1.160,HARPS-N
2456851.611316,27198.840,0.840,HARPS-N
2456852.612313,27200.630,1.330,HARPS-N
2456853.614442,27200.320,1.010,HARPS-N
2456862.473212,27202.050,1.420,HARPS-N
2456863.406516,27198.040,0.930,HARPS-N
2456864.399671,27199.120,0.870,HARPS-N
2456865.402957,27199.050,0.860,HARPS-N
2456866.393554,27201.710,0.870,HARPS-N
2456922.336781,27201.090,0.950,HARPS-N
