bjd,rv_ms,rv_err_ms,instrument
2457254.593921,-17553.330,0.990,HARPS-N
2457257.579793,-17551.130,1.110,HARPS-N
2457267.620595,-17552.100,1.130,HARPS-N
2457269.561144,-17555.860,1.200,HARPS-N
2457270.544776,-17555.650,0.790,HARPS-N
2457271.548153,-17554.790,0.770,HARPS-N
2457272.586906,-17557.080,0.970,HARPS-N
2457301.479202,-17555.770,0.930,HARPS-N
2457302.479665,-17552.180,1.120,HARPS-N
2457321.447821,-17555.940,1.720,HARPS-N
2457322.453322,-17548.740,0.810,HARPS-N
2457325.305568,-17546.950,1.050,HARPS-N
2457330.333203,-17549.250,1.020,HARPS-N
2457331.333563,-17548.670,1.010,HARPS-N
2457332.331814,-17550.750,1.130,HARPS-N
2457336.334195,-17550.350,1.000,HARPS-N
2457352.323488,-17552.910,5.800,HARPS-N
2457353.337798,-17550.170,2.940,HARPS-N
2457354.335383,-17555.200,3.680,HARPS-N
2457354.356217,-17547.120,1.260,HARPS-N
2457356.297147,-17548.600,1.410,HARPS-N
2457379.304499,-17552.580,3.780,HARPS-N
2457380.302428,-17552.860,1.250,HARPS-N
2457381.300470,-17555.760,1.740,HARPS-N
2457382.299111,-17552.500,1.060,HARPS-N
2457384.301700,-17551.130,1.640,HARPS-N
2457559.719367,-17552.270,1.070,HARPS-N
2457560.701004,-17555.860,1.090,HARPS-N
2457562.712590,-17551.760,1.200,HARPS-N
2457563.704975,-17554.960,1.330,HARPS-N
2457564.719048,-17554.440,1.230,HARPS-N
2457565.708450,-17553.980,1.290,HARPS-N
2457566.719158,-17549.260,1.060,HARPS-N
2457573.705603,-17548.700,1.190,HARPS-N
2457574.683160,-17550.080,1.090,HARPS-N
2457574.736772,-17552.720,0.890,HARPS-N
2457576.668523,-17552.130,0.900,HARPS-N
2457576.735437,-17549.700,1.000,HARPS-N
2457578.655281,-17545.980,3.330,HARPS-N
2457579.650287,-17553.680,2.560,HARPS-N
2457579.732560,-17550.260,2.720,HARPS-N
2457580.633386,-17548.930,5.270,HARPS-N
2457616.542908,-17543.640,2.020,HARPS-N
2457616.617984,-17549.630,1.550,HARPS-N
2457617.550949,-17552.590,0.980,HARPS-N
2457617.622006,-17552.330,0.840,HARPS-N
2457618.548544,-17548.420,1.170,HARPS-N
2457618.621029,-17549.650,0.890,HARPS-N
2457651.429487,-17552.630,0.880,HARPS-N
2457651.525443,-17553.130,0.970,HARPS-N
2457652.428606,-17550.660,0.900,HARPS-N
2457652.526778,-17551.700,0.860,HARPS-N
2457653.433221,-17552.260,1.260,HARPS-N
2457653.529551,-17552.760,1.010,HARPS-N
2457654.433077,-17550.090,1.220,HARPS-N
2457654.531467,-17548.880,1.140,HARPS-N
2457655.510485,-17550.690,2.490,HARPS-N
2457656.436482,-17548.180,1.470,HARPS-N
2457656.514680,-17549.490,2.030,HARPS-N
2457657.431735,-17551.470,1.840,HARPS-N
2457657.528696,-17547.090,2.380,HARPS-N
2457658.453610,-17551.280,1.660,HARPS-N
2457658.528884,-17550.680,1.400,HARPS-N
2457659.500183,-17551.690,0.930,HARPS-N
2457661.419278,-17548.880,0.910,HARPS-N
2457661.509554,-17551.600,1.150,HARPS-N
2457669.426731,-17556.900,1.170,HARPS-N
2457669.530056,-17558.470,1.410,HARPS-N
2457670.427196,-17549.740,1.450,HARPS-N
2457670.512414,-17554.460,1.060,HARPS-N
2457671.419973,-17553.610,0.910,HARPS-N
2457671.507035,-17555.370,0.850,HARPS-N
2457672.423752,-17548.700,0.850,HARPS-N
2457672.509442,-17549.280,0.750,HARPS-N
2457673.417599,-17551.030,1.050,HARPS-N
2457673.508815,-17548.470,1.030,HARPS-N
2459417.683876,-17555.270,1.300,HARPS-N
2459428.704455,-17553.370,1.240,HARPS-N
2459442.670173,-17547.400,1.680,HARPS-N
2459454.545351,-17545.230,0.940,HARPS-N
2459461.587048,-17548.680,0.980,HARPS-N
2459462.546791,-17543.580,1.170,HARPS-N
