bjd,rv_ms,rv_err_ms,instrument
2456435.513672,-3527.790,2.480,HARPS-N
2456435.535227,-3525.390,2.200,HARPS-N
2456435.556031,-3528.530,2.170,HARPS-N
2456435.577054,-3532.640,2.100,HARPS-N
2456435.598519,-3529.140,2.010,HARPS-N
2456435.619257,-3528.190,2.010,HARPS-N
2456435.641418,-3527.960,1.880,HARPS-N
2456435.661898,-3524.640,1.790,HARPS-N
2456435.682678,-3528.510,1.840,HARPS-N
2456435.703819,-3531.260,1.720,HARPS-N
2456456.465786,-3530.220,1.880,HARPS-N
2456456.490435,-3525.930,2.010,HARPS-N
2456456.515276,-3530.550,2.050,HARPS-N
2456456.539822,-3526.290,1.760,HARPS-N
2456456.562924,-3527.680,2.140,HARPS-N
2456456.588672,-3524.970,2.250,HARPS-N
2456456.613411,-3524.040,2.210,HARPS-N
2456456.636903,-3526.000,2.210,HARPS-N
2456456.661770,-3526.160,1.880,HARPS-N
2456456.686287,-3526.170,1.880,HARPS-N
2456456.708644,-3524.660,2.970,HARPS-N
2456457.454745,-3533.150,2.710,HARPS-N
2456457.475227,-3530.850,2.580,HARPS-N
2456457.499203,-3534.710,2.460,HARPS-N
2456457.520703,-3531.720,2.400,HARPS-N
2456457.544682,-3536.990,2.410,HARPS-N
2456457.565324,-3536.930,2.550,HARPS-N
2456457.589064,-3530.380,2.780,HARPS-N
2456457.611790,-3531.390,2.980,HARPS-N
2456457.636913,-3532.910,2.060,HARPS-N
2456457.657167,-3529.690,1.640,HARPS-N
2456457.682059,-3534.110,2.280,HARPS-N
2456457.703547,-3531.810,2.040,HARPS-N
2456458.450503,-3537.680,3.520,HARPS-N
2456458.471297,-3532.930,2.600,HARPS-N
2456458.495632,-3532.170,2.560,HARPS-N
2456458.516939,-3535.330,2.290,HARPS-N
2456458.540804,-3533.830,1.980,HARPS-N
2456458.561835,-3532.340,2.070,HARPS-N
2456458.585863,-3533.070,2.040,HARPS-N
2456458.607255,-3533.460,2.510,HARPS-N
2456458.631771,-3532.850,1.910,HARPS-N
2456458.652297,-3531.550,1.840,HARPS-N
2456458.680297,-3527.770,2.040,HARPS-N
2456458.702603,-3529.540,2.310,HARPS-N
2456459.445101,-3524.590,2.400,HARPS-N
2456459.466062,-3529.370,2.390,HARPS-N
2456459.491395,-3525.960,2.500,HARPS-N
2456459.511597,-3524.980,2.480,HARPS-N
2456459.538652,-3522.310,2.320,HARPS-N
2456459.557802,-3527.980,1.770,HARPS-N
2456459.581191,-3524.470,2.070,HARPS-N
2456459.603197,-3529.240,1.850,HARPS-N
2456459.627389,-3528.080,1.940,HARPS-N
2456459.647845,-3535.670,1.690,HARPS-N
2456459.671792,-3526.770,2.050,HARPS-N
2456459.688263,-3518.590,1.980,HARPS-N
