bjd,rv_ms,rv_err_ms,instrument
2457521.559568,-21796.560,2.610,HARPS-N
2457525.561308,-21794.910,3.580,HARPS-N
2457526.565172,-21797.380,3.420,HARPS-N
2457528.544218,-21803.540,3.960,HARPS-N
2457529.514536,-21804.180,3.030,HARPS-N
2457559.442868,-21798.860,5.480,HARPS-N
2457562.440606,-21796.030,2.640,HARPS-N
2457563.420087,-21797.270,4.000,HARPS-N
2457564.414784,-21798.090,8.030,HARPS-N
2457565.443048,-21793.030,3.130,HARPS-N
2458887.712562,-21804.560,2.180,HARPS-N
2458890.679787,-21796.000,2.230,HARPS-N
2458891.706214,-21794.670,2.290,HARPS-N
2458907.754544,-21790.900,2.830,HARPS-N
2458921.634473,-21796.750,6.000,HARPS-N
