bjd,rv_ms,rv_err_ms,instrument
2457180.524279,-40771.280,2.630,HARPS-N
2457181.528380,-40768.560,2.320,HARPS-N
2457182.604569,-40769.300,2.540,HARPS-N
2457183.494998,-40766.550,2.680,HARPS-N
2457184.499485,-40762.120,4.300,HARPS-N
2457185.495864,-40773.510,2.810,HARPS-N
2457186.573614,-40769.900,2.190,HARPS-N
2457188.502763,-40771.790,3.740,HARPS-N
2457189.493601,-40770.760,3.860,HARPS-N
2457190.506927,-40768.500,2.890,HARPS-N
2457191.507262,-40768.140,2.280,HARPS-N
2457192.504018,-40771.460,2.350,HARPS-N
2457193.507218,-40771.900,2.450,HARPS-N
2457195.619618,-40771.300,3.110,HARPS-N
2457221.431353,-40772.570,2.350,HARPS-N
2457222.436636,-40773.370,2.940,HARPS-N
2457223.461542,-40770.090,4.330,HARPS-N
2457224.391729,-40759.050,5.510,HARPS-N
2457225.434611,-40772.660,5.110,HARPS-N
2457226.409481,-40770.580,3.980,HARPS-N
2457227.451433,-40771.360,3.230,HARPS-N
2457228.411081,-40768.840,3.230,HARPS-N
2457229.430540,-40770.310,2.630,HARPS-N
2457230.406909,-40767.520,3.150,HARPS-N
2457254.398584,-40773.070,3.160,HARPS-N
2457255.500936,-40766.560,2.890,HARPS-N
2457256.421907,-40773.280,3.000,HARPS-N
2457257.483621,-40770.830,3.250,HARPS-N
2457267.508488,-40771.210,2.630,HARPS-N
2457268.566133,-40776.410,3.740,HARPS-N
2457269.464701,-40773.580,2.850,HARPS-N
2457270.453258,-40768.980,2.340,HARPS-N
2457271.454712,-40770.540,2.080,HARPS-N
2457272.496051,-40774.010,2.630,HARPS-N
2457273.472623,-40773.320,2.500,HARPS-N
2457301.433228,-40766.560,2.650,HARPS-N
2457302.432884,-40769.600,2.830,HARPS-N
2457322.359863,-40768.520,3.190,HARPS-N
2457324.382755,-40769.650,3.030,HARPS-N
2457330.350405,-40768.290,3.120,HARPS-N
2457331.373768,-40765.560,3.830,HARPS-N
2457332.371028,-40777.150,3.730,HARPS-N
2457334.329680,-40769.040,2.960,HARPS-N
2457336.373233,-40767.850,3.550,HARPS-N
2457498.664841,-40773.660,4.830,HARPS-N
2457499.670633,-40763.150,4.170,HARPS-N
2457521.624402,-40773.380,2.800,HARPS-N
2457522.594053,-40770.480,3.260,HARPS-N
2457525.644012,-40768.790,3.550,HARPS-N
2457526.667562,-40764.960,4.300,HARPS-N
2457527.616473,-40770.840,4.110,HARPS-N
2457528.632856,-40763.480,3.170,HARPS-N
2457529.645769,-40767.660,3.160,HARPS-N
2457530.650595,-40765.500,4.040,HARPS-N
2457531.673520,-40769.170,3.690,HARPS-N
2457557.641326,-40778.170,3.900,HARPS-N
2457558.612194,-40765.980,4.160,HARPS-N
2457559.641009,-40771.100,3.360,HARPS-N
2457560.635094,-40775.990,3.680,HARPS-N
2457562.593890,-40769.480,3.660,HARPS-N
2457563.621740,-40764.780,4.120,HARPS-N
2457564.608375,-40771.810,4.560,HARPS-N
2457565.629263,-40774.930,3.950,HARPS-N
2457566.631481,-40771.240,2.450,HARPS-N
2457573.576223,-40765.730,3.630,HARPS-N
2457573.597845,-40768.680,3.200,HARPS-N
2457574.567578,-40767.900,2.660,HARPS-N
2457574.587257,-40768.760,2.700,HARPS-N
2457576.558011,-40762.860,2.400,HARPS-N
2457579.630431,-40765.860,4.090,HARPS-N
2457580.703764,-40776.150,5.860,HARPS-N
2457602.493489,-40768.970,2.980,HARPS-N
2457614.471111,-40771.410,2.800,HARPS-N
2457616.518907,-40768.290,7.040,HARPS-N
2457617.486393,-40780.880,4.100,HARPS-N
2457618.484486,-40775.440,3.900,HARPS-N
2457651.406271,-40776.200,2.880,HARPS-N
2457652.405462,-40767.020,2.680,HARPS-N
2457653.410951,-40770.760,3.850,HARPS-N
2457654.409670,-40772.790,3.350,HARPS-N
2457655.381482,-40772.740,4.150,HARPS-N
2457656.401420,-40769.550,2.490,HARPS-N
2457658.468632,-40765.980,6.490,HARPS-N
2457659.410470,-40770.670,3.120,HARPS-N
2457661.434321,-40774.670,2.590,HARPS-N
2457669.402404,-40772.650,2.640,HARPS-N
2457670.357839,-40762.640,3.210,HARPS-N
2457671.397339,-40766.640,2.540,HARPS-N
2457672.401681,-40769.900,2.850,HARPS-N
2457673.332867,-40768.440,2.700,HARPS-N
2457699.367097,-40769.370,3.740,HARPS-N
2457701.364486,-40768.190,4.640,HARPS-N
2457702.374610,-40762.080,7.740,HARPS-N
2457706.346669,-40770.920,3.470,HARPS-N
2458727.475474,-40764.220,3.050,HARPS-N
2458738.410910,-40764.970,2.730,HARPS-N
2458746.459611,-40770.890,2.890,HARPS-N
