bjd,rv_ms,rv_err_ms,instrument
2456268.313678,-28543.650,0.590,HARPS-N
2456366.744005,-28540.400,1.580,HARPS-N
2456379.723379,-28537.030,0.660,HARPS-N
2456381.728311,-28545.090,0.580,HARPS-N
2456382.714268,-28543.630,0.560,HARPS-N
2456397.728718,-28538.310,0.500,HARPS-N
2456401.653285,-28536.480,1.120,HARPS-N
2456418.725846,-28543.150,0.620,HARPS-N
2456420.662569,-28542.180,0.750,HARPS-N
2456421.619109,-28542.730,0.930,HARPS-N
2456422.696149,-28539.930,3.260,HARPS-N
2456422.708378,-28539.730,2.480,HARPS-N
2456423.653594,-28542.870,1.930,HARPS-N
2456432.685841,-28543.480,0.570,HARPS-N
2456433.651803,-28542.240,0.560,HARPS-N
2456434.626022,-28540.810,0.830,HARPS-N
2456436.678611,-28542.790,0.660,HARPS-N
2456437.654678,-28541.430,0.820,HARPS-N
2456462.619169,-28542.960,0.610,HARPS-N
2456464.590395,-28543.450,0.980,HARPS-N
2456465.588138,-28542.780,0.800,HARPS-N
2456466.575213,-28543.570,0.600,HARPS-N
2456478.535512,-28539.270,0.760,HARPS-N
2456479.685180,-28536.770,0.550,HARPS-N
2456480.685100,-28537.170,0.620,HARPS-N
2456481.722451,-28539.150,1.010,HARPS-N
2456499.641305,-28540.470,1.020,HARPS-N
2456501.499237,-28543.470,0.860,HARPS-N
2456510.552910,-28542.780,0.610,HARPS-N
2456545.536138,-28539.830,0.600,HARPS-N
2456549.518688,-28543.250,0.580,HARPS-N
2456557.549693,-28541.570,0.660,HARPS-N
2456562.461234,-28546.150,0.770,HARPS-N
2456564.524271,-28543.520,0.550,HARPS-N
2459028.665149,-28539.450,0.590,HARPS-N
2459095.493684,-28541.610,0.650,HARPS-N
2459335.711627,-28542.490,1.470,HARPS-N
2459336.697949,-28543.810,0.910,HARPS-N
2459346.674177,-28539.990,1.090,HARPS-N
2459362.679019,-28542.290,0.590,HARPS-N
