bjd,rv_ms,rv_err_ms,instrument
2457576.701113,19369.090,0.650,HARPS-N
2457578.691220,19363.450,1.450,HARPS-N
2457579.674895,19363.430,1.510,HARPS-N
2457580.720597,19362.800,1.130,HARPS-N
2457585.641822,19364.990,0.680,HARPS-N
2457587.717603,19369.200,0.770,HARPS-N
2457606.603919,19367.160,0.710,HARPS-N
2457606.723591,19366.500,1.080,HARPS-N
2457607.613831,19369.500,0.800,HARPS-N
2457607.726257,19367.060,1.010,HARPS-N
2457611.597771,19364.360,0.680,HARPS-N
2457611.666801,19365.340,0.540,HARPS-N
2457611.746327,19368.600,0.570,HARPS-N
2457614.645831,19367.760,0.630,HARPS-N
2457614.736136,19371.800,0.660,HARPS-N
2457616.604109,19376.420,1.250,HARPS-N
2457616.737143,19374.170,1.020,HARPS-N
2457617.673605,19375.720,0.650,HARPS-N
2457617.746108,19375.250,0.600,HARPS-N
2457618.645480,19375.870,0.630,HARPS-N
2457618.722101,19375.320,0.560,HARPS-N
2457641.508727,19371.740,0.630,HARPS-N
2457641.616129,19372.610,0.570,HARPS-N
2457641.726240,19373.000,0.500,HARPS-N
2457642.520735,19371.620,0.630,HARPS-N
2457642.651894,19373.830,0.460,HARPS-N
2457642.718902,19373.040,0.500,HARPS-N
2457643.512812,19374.430,0.630,HARPS-N
2457643.605448,19373.440,0.590,HARPS-N
2457643.659870,19373.780,0.610,HARPS-N
2457643.723110,19371.440,0.650,HARPS-N
2457645.508675,19369.500,0.710,HARPS-N
2457645.618118,19369.530,0.620,HARPS-N
2457645.713590,19367.590,0.680,HARPS-N
2457646.500850,19369.980,0.820,HARPS-N
2457646.568445,19370.240,0.520,HARPS-N
2457646.651866,19368.960,0.540,HARPS-N
2457646.719191,19368.160,0.550,HARPS-N
2457651.442660,19373.420,0.710,HARPS-N
2457651.540793,19372.300,0.670,HARPS-N
2457652.441964,19373.320,0.660,HARPS-N
2457652.543202,19368.690,0.700,HARPS-N
2457653.446133,19372.400,0.870,HARPS-N
2457653.542620,19367.090,0.700,HARPS-N
2457654.446300,19369.590,0.880,HARPS-N
2457654.545752,19365.100,0.750,HARPS-N
2457655.540907,19367.850,0.900,HARPS-N
2457655.690234,19367.430,0.990,HARPS-N
2457656.580478,19365.210,1.380,HARPS-N
2457657.582789,19366.570,1.390,HARPS-N
2457657.682762,19367.440,1.460,HARPS-N
2457658.599740,19366.710,0.870,HARPS-N
2457658.703411,19371.060,1.020,HARPS-N
2457659.587476,19369.240,0.630,HARPS-N
2457659.688401,19370.520,0.720,HARPS-N
2457661.573785,19368.650,0.660,HARPS-N
2457661.687841,19369.120,0.610,HARPS-N
2457663.389585,19364.850,1.010,HARPS-N
2457663.399609,19363.600,0.900,HARPS-N
2457663.410504,19365.090,0.950,HARPS-N
2457663.421050,19363.970,0.860,HARPS-N
2457663.432075,19364.690,0.810,HARPS-N
2457663.442714,19365.030,0.870,HARPS-N
2457663.453347,19365.490,0.780,HARPS-N
2457663.463801,19363.860,0.780,HARPS-N
2457663.474618,19365.560,0.690,HARPS-N
2457663.485485,19364.420,0.620,HARPS-N
2457663.496145,19367.480,0.640,HARPS-N
2457663.506498,19366.610,0.660,HARPS-N
2457663.517452,19366.270,0.690,HARPS-N
2457663.527849,19367.760,0.740,HARPS-N
2457663.538910,19368.540,0.690,HARPS-N
2457663.549392,19368.030,0.650,HARPS-N
2457663.560203,19369.010,0.690,HARPS-N
2457663.570735,19370.410,0.710,HARPS-N
2457663.581632,19369.440,0.720,HARPS-N
2457663.592002,19370.300,0.730,HARPS-N
2457663.603072,19370.100,0.760,HARPS-N
2457663.613673,19368.800,0.780,HARPS-N
2457663.624428,19369.600,0.810,HARPS-N
2457663.635367,19369.820,0.780,HARPS-N
2457663.645628,19371.850,0.810,HARPS-N
2457663.656606,19371.480,0.820,HARPS-N
2457663.667224,19370.640,0.750,HARPS-N
2457663.677479,19371.740,0.870,HARPS-N
2457663.688361,19372.850,0.980,HARPS-N
2457663.698811,19371.650,1.290,HARPS-N
2457663.710742,19371.230,1.220,HARPS-N
2457663.720400,19370.690,1.160,HARPS-N
2457663.731451,19371.840,1.150,HARPS-N
2457663.742040,19372.880,1.290,HARPS-N
2457663.752416,19371.230,1.450,HARPS-N
2457663.760834,19376.850,3.010,HARPS-N
2457669.441265,19368.140,0.760,HARPS-N
2457669.595680,19370.050,0.970,HARPS-N
2457670.439461,19369.240,1.070,HARPS-N
2457670.527009,19369.700,0.630,HARPS-N
2457671.434722,19366.120,0.650,HARPS-N
2457671.521704,19367.740,0.660,HARPS-N
2457672.438247,19368.530,0.640,HARPS-N
2457672.523916,19367.850,0.530,HARPS-N
2457673.406598,19369.460,0.740,HARPS-N
2457673.458980,19369.900,0.740,HARPS-N
2457673.497701,19368.810,0.730,HARPS-N
2457673.540477,19368.980,0.730,HARPS-N
2457673.582757,19368.420,0.690,HARPS-N
2457673.625929,19364.910,0.690,HARPS-N
2457692.397354,19374.090,0.730,HARPS-N
2457692.562748,19373.790,0.760,HARPS-N
2457693.390849,19371.930,0.790,HARPS-N
2457693.477411,19373.690,0.820,HARPS-N
2457694.430110,19374.030,0.620,HARPS-N
2457694.482460,19373.160,0.870,HARPS-N
2457699.392834,19370.180,0.640,HARPS-N
2457699.435789,19369.420,0.670,HARPS-N
2457699.474534,19368.360,0.720,HARPS-N
2457699.510417,19369.430,0.700,HARPS-N
2457699.551134,19368.270,0.710,HARPS-N
2457700.534044,19368.730,0.950,HARPS-N
2457700.592178,19368.250,1.190,HARPS-N
2457701.327066,19372.720,1.040,HARPS-N
2457701.464889,19365.090,2.330,HARPS-N
2457701.540885,19371.440,2.190,HARPS-N
2457701.620023,19372.150,2.060,HARPS-N
2457702.324328,19374.040,1.210,HARPS-N
2457702.461704,19371.290,1.280,HARPS-N
2457702.520458,19369.530,1.160,HARPS-N
2457702.592900,19368.040,1.340,HARPS-N
2457703.320500,19369.600,1.430,HARPS-N
2457703.468442,19367.740,1.110,HARPS-N
2457703.535834,19366.060,0.840,HARPS-N
2457703.576064,19367.240,0.860,HARPS-N
2457705.475594,19361.830,2.620,HARPS-N
