bjd,rv_ms,rv_err_ms,instrument
2456829.514896,-37125.300,4.140,HARPS-N
2456831.480383,-37115.300,3.760,HARPS-N
2456845.623213,-37133.660,3.660,HARPS-N
2456846.596662,-37137.240,3.890,HARPS-N
2456847.544394,-37129.690,5.160,HARPS-N
2456848.562386,-37130.280,5.120,HARPS-N
2456849.496776,-37129.530,4.620,HARPS-N
2456850.527198,-37132.310,10.830,HARPS-N
2456852.544548,-37128.010,7.710,HARPS-N
2456853.546690,-37123.750,4.520,HARPS-N
2456863.555854,-37129.670,4.450,HARPS-N
2456864.562768,-37131.810,3.880,HARPS-N
2456865.618916,-37126.070,5.100,HARPS-N
2456866.588422,-37127.350,7.250,HARPS-N
2456883.618885,-37129.770,4.030,HARPS-N
2456884.605242,-37127.210,4.600,HARPS-N
2456884.625755,-37132.440,4.770,HARPS-N
2456885.601261,-37127.190,4.330,HARPS-N
2456885.621922,-37133.480,5.490,HARPS-N
2456886.601628,-37123.040,4.690,HARPS-N
2456887.594904,-37125.260,4.860,HARPS-N
2456887.615334,-37130.900,5.280,HARPS-N
2457153.605701,-37134.000,9.660,HARPS-N
2457156.618496,-37113.750,12.520,HARPS-N
2457180.570135,-37133.940,3.780,HARPS-N
2457181.618000,-37133.850,5.470,HARPS-N
2457182.581903,-37133.380,3.700,HARPS-N
2457183.608511,-37126.860,3.890,HARPS-N
2457185.596826,-37125.460,4.520,HARPS-N
2457186.619144,-37129.100,3.470,HARPS-N
2457188.613927,-37124.460,5.600,HARPS-N
2457189.606126,-37115.810,7.640,HARPS-N
2457190.619101,-37129.120,4.090,HARPS-N
2457191.619989,-37118.330,3.880,HARPS-N
2457192.616303,-37132.520,4.120,HARPS-N
2457193.618932,-37129.640,3.650,HARPS-N
2457195.551047,-37120.710,4.340,HARPS-N
2457221.531381,-37125.380,3.390,HARPS-N
2457222.627941,-37125.570,3.700,HARPS-N
2457223.437892,-37125.380,6.540,HARPS-N
2457225.501240,-37123.330,9.420,HARPS-N
2457226.521307,-37127.860,7.860,HARPS-N
2457227.584462,-37121.410,4.600,HARPS-N
2457228.523832,-37121.430,4.400,HARPS-N
2457229.631040,-37123.070,6.840,HARPS-N
2457254.446766,-37137.660,5.830,HARPS-N
2457256.520506,-37130.010,3.990,HARPS-N
2457257.528619,-37139.280,4.970,HARPS-N
2457267.575451,-37127.560,3.780,HARPS-N
2458726.436009,-37141.620,5.420,HARPS-N
2458738.434043,-37126.400,3.700,HARPS-N
