bjd,rv_ms,rv_err_ms,instrument
2457614.698774,1684.380,1.570,HARPS-N
2457616.700750,1678.380,2.200,HARPS-N
2457617.708106,1680.540,1.540,HARPS-N
2457618.708010,1684.170,1.310,HARPS-N
2457619.740479,1681.810,1.450,HARPS-N
2457652.507793,1682.920,0.940,HARPS-N
2457653.511803,1684.380,1.220,HARPS-N
2457655.675323,1684.980,1.720,HARPS-N
2457657.610626,1681.890,3.250,HARPS-N
2457658.675545,1682.080,2.010,HARPS-N
2457659.647724,1682.650,1.810,HARPS-N
2457661.634200,1680.790,1.470,HARPS-N
2457669.479038,1683.180,1.750,HARPS-N
2457670.500800,1684.550,1.490,HARPS-N
2457671.495687,1683.280,1.490,HARPS-N
2457672.497868,1685.150,1.640,HARPS-N
2457699.569224,1679.200,1.140,HARPS-N
2457700.609871,1684.140,1.860,HARPS-N
2457701.637674,1683.470,2.410,HARPS-N
2457702.610869,1684.850,1.780,HARPS-N
2457728.509832,1681.130,2.200,HARPS-N
2457729.403146,1676.250,1.700,HARPS-N
2457750.349632,1683.580,2.330,HARPS-N
2457752.428342,1681.110,2.750,HARPS-N
2457754.364471,1680.290,1.620,HARPS-N
2457754.463609,1679.310,1.950,HARPS-N
2457755.341414,1674.900,2.090,HARPS-N
2457755.443471,1681.620,2.030,HARPS-N
2457756.342867,1673.240,1.700,HARPS-N
2457756.431469,1673.130,2.840,HARPS-N
2457757.350102,1680.100,1.700,HARPS-N
2457757.436614,1677.920,1.710,HARPS-N
2457762.333277,1681.570,2.040,HARPS-N
2457762.407652,1680.020,2.150,HARPS-N
2457764.342294,1679.210,1.740,HARPS-N
2457764.423890,1679.490,3.080,HARPS-N
2457769.399548,1685.360,4.400,HARPS-N
2457771.336470,1679.690,1.580,HARPS-N
2457771.384126,1678.860,1.640,HARPS-N
2457772.345580,1679.980,1.420,HARPS-N
2457772.407062,1680.010,1.490,HARPS-N
2457989.705439,1678.490,1.770,HARPS-N
2457991.726528,1689.290,2.790,HARPS-N
2457992.663843,1681.860,1.410,HARPS-N
2457993.726858,1682.250,1.490,HARPS-N
2457994.698190,1682.700,1.370,HARPS-N
2457995.703984,1681.800,1.480,HARPS-N
2457996.677458,1673.870,2.820,HARPS-N
2457998.724925,1679.500,3.290,HARPS-N
2458000.642412,1679.570,2.190,HARPS-N
2458001.728429,1678.900,2.780,HARPS-N
2458047.543870,1677.310,1.800,HARPS-N
2458048.451824,1678.260,3.800,HARPS-N
2458049.524021,1677.330,2.990,HARPS-N
2458050.550070,1676.380,1.760,HARPS-N
2458051.572046,1678.280,2.120,HARPS-N
2458052.495093,1680.360,1.500,HARPS-N
2458098.521401,1683.100,1.580,HARPS-N
2458102.431747,1686.190,1.830,HARPS-N
2458103.465542,1688.030,1.990,HARPS-N
2458816.324017,1678.800,2.490,HARPS-N
2458830.405580,1680.710,3.460,HARPS-N
2458841.372781,1684.450,2.280,HARPS-N
2459156.555127,1680.480,1.720,HARPS-N
2459157.597547,1677.540,3.080,HARPS-N
2459170.375676,1679.770,1.720,HARPS-N
2459171.541659,1683.650,1.660,HARPS-N
2459172.344754,1678.840,1.300,HARPS-N
2459212.336350,1684.880,2.640,HARPS-N
2459213.448953,1685.870,2.090,HARPS-N
