bjd,rv_ms,rv_err_ms,instrument
2457321.718511,-16295.440,2.410,HARPS-N
2457323.576069,-16293.730,2.420,HARPS-N
2457324.657995,-16298.970,2.680,HARPS-N
2457325.621431,-16290.010,2.140,HARPS-N
2457330.574499,-16287.750,2.110,HARPS-N
2457331.669082,-16291.200,2.090,HARPS-N
2457332.640763,-16286.410,2.660,HARPS-N
2457333.625678,-16288.530,2.190,HARPS-N
2457334.517248,-16286.730,2.250,HARPS-N
2457336.491140,-16288.460,6.470,HARPS-N
2457345.566250,-16284.020,3.620,HARPS-N
2457345.592462,-16281.330,4.120,HARPS-N
2457345.610675,-16279.630,4.310,HARPS-N
2457347.568458,-16287.920,4.040,HARPS-N
2457347.589022,-16286.410,4.080,HARPS-N
2457348.561214,-16289.950,2.220,HARPS-N
2457370.541470,-16291.450,2.510,HARPS-N
2457370.562375,-16291.390,2.540,HARPS-N
2457371.458311,-16290.480,2.520,HARPS-N
2457371.479568,-16291.180,2.010,HARPS-N
2457374.561497,-16293.120,2.410,HARPS-N
2457380.520309,-16294.410,4.250,HARPS-N
2457381.561287,-16287.850,2.780,HARPS-N
2457384.505580,-16292.350,2.680,HARPS-N
2457399.323862,-16290.210,5.050,HARPS-N
2457407.335744,-16289.380,3.110,HARPS-N
2457407.357645,-16291.630,2.650,HARPS-N
2457408.393394,-16281.800,3.570,HARPS-N
2457408.415425,-16287.250,3.580,HARPS-N
2457409.350313,-16285.960,2.850,HARPS-N
2457409.370344,-16288.340,4.770,HARPS-N
2457411.384522,-16285.560,4.090,HARPS-N
2457411.405363,-16287.080,4.700,HARPS-N
2457412.408565,-16290.250,2.560,HARPS-N
2457412.430363,-16287.700,2.310,HARPS-N
2457413.390563,-16288.170,2.730,HARPS-N
2457413.411634,-16286.730,2.650,HARPS-N
2457414.379392,-16287.420,2.200,HARPS-N
2457414.399794,-16290.300,2.430,HARPS-N
2457415.453961,-16292.050,2.380,HARPS-N
2457415.472518,-16295.860,3.280,HARPS-N
2457432.363159,-16297.020,2.590,HARPS-N
2457432.384671,-16293.150,2.400,HARPS-N
2457433.372275,-16293.190,2.900,HARPS-N
2457433.395114,-16295.760,3.240,HARPS-N
2457435.432889,-16292.510,3.510,HARPS-N
2457436.395868,-16289.760,2.570,HARPS-N
2457436.417886,-16294.240,2.370,HARPS-N
2457458.405250,-16287.150,2.800,HARPS-N
2457458.426178,-16283.650,2.920,HARPS-N
2457461.373021,-16293.080,2.020,HARPS-N
2457461.393687,-16290.260,2.200,HARPS-N
2457462.389279,-16290.710,2.270,HARPS-N
2457462.409579,-16287.340,2.240,HARPS-N
2457463.406429,-16294.960,2.280,HARPS-N
2457463.426886,-16291.050,2.620,HARPS-N
2458142.421211,-16285.920,2.240,HARPS-N
2458144.445753,-16294.510,2.340,HARPS-N
2458145.394838,-16288.970,3.210,HARPS-N
2458145.505924,-16287.540,4.860,HARPS-N
2458172.424015,-16294.470,3.470,HARPS-N
2458184.394839,-16289.810,2.380,HARPS-N
2458188.426380,-16296.100,5.290,HARPS-N
2458189.396256,-16286.490,3.250,HARPS-N
2458192.403853,-16282.650,3.880,HARPS-N
2458360.680324,-16296.100,3.260,HARPS-N
2458361.663099,-16290.890,6.280,HARPS-N
2458364.656205,-16295.100,1.920,HARPS-N
2458365.676747,-16290.780,2.170,HARPS-N
2458366.707879,-16289.810,2.210,HARPS-N
2458378.690811,-16292.250,2.300,HARPS-N
2458379.641936,-16292.580,2.340,HARPS-N
2458380.636923,-16292.510,1.720,HARPS-N
2458381.641861,-16291.030,1.750,HARPS-N
2458382.642369,-16286.350,2.560,HARPS-N
2458383.611734,-16291.740,4.520,HARPS-N
2458384.645485,-16289.900,3.710,HARPS-N
2458385.648364,-16292.270,2.130,HARPS-N
2458386.655141,-16291.640,1.890,HARPS-N
2458388.677614,-16294.310,2.270,HARPS-N
2458390.737311,-16295.750,1.980,HARPS-N
2458391.706069,-16294.060,2.120,HARPS-N
2458415.664660,-16290.800,2.570,HARPS-N
2458448.671951,-16292.850,2.190,HARPS-N
2458451.451603,-16294.170,2.390,HARPS-N
2458453.662984,-16290.150,2.190,HARPS-N
2458454.525854,-16291.110,2.600,HARPS-N
2458456.426847,-16294.290,2.920,HARPS-N
2458477.542223,-16294.930,4.550,HARPS-N
2458478.612199,-16292.730,2.500,HARPS-N
2458480.560657,-16293.070,2.090,HARPS-N
2458481.545288,-16299.540,2.580,HARPS-N
2458482.501117,-16297.820,2.100,HARPS-N
2458483.538531,-16300.030,2.200,HARPS-N
2458484.525121,-16295.080,2.240,HARPS-N
2458487.474138,-16300.440,2.290,HARPS-N
2458488.440677,-16295.860,1.930,HARPS-N
2458489.497769,-16290.650,1.920,HARPS-N
2458502.412571,-16297.780,2.670,HARPS-N
2458504.473212,-16293.780,2.440,HARPS-N
2458505.405428,-16284.930,2.490,HARPS-N
2458518.351680,-16288.340,2.760,HARPS-N
2458520.400595,-16292.930,2.300,HARPS-N
2458521.354149,-16287.670,2.700,HARPS-N
2458522.391511,-16288.200,2.240,HARPS-N
2458523.482950,-16286.530,2.110,HARPS-N
2458524.359243,-16289.110,2.130,HARPS-N
2458525.357376,-16290.130,3.050,HARPS-N
2458526.384528,-16287.270,2.510,HARPS-N
2458527.351458,-16288.190,2.250,HARPS-N
2458528.355500,-16290.180,2.840,HARPS-N
2458537.393828,-16288.030,3.380,HARPS-N
2458538.427461,-16283.500,3.070,HARPS-N
2458539.436337,-16288.860,2.250,HARPS-N
