bjd,rv_ms,rv_err_ms,instrument
2457047.674605,16983.260,7.200,HARPS-N
2457048.720263,16974.240,6.700,HARPS-N
2457053.700545,16984.190,5.850,HARPS-N
2457054.657341,16986.550,3.430,HARPS-N
2457106.505322,16978.540,5.210,HARPS-N
2457106.626975,16989.130,6.350,HARPS-N
2457107.429407,16980.490,3.370,HARPS-N
2457107.672355,16980.750,6.810,HARPS-N
2457117.538547,16975.740,2.820,HARPS-N
2457118.593781,16978.170,3.150,HARPS-N
2457121.579744,16979.830,2.590,HARPS-N
2457122.602423,16974.450,3.030,HARPS-N
2457379.762247,16979.920,3.200,HARPS-N
2457380.777841,16982.500,3.280,HARPS-N
2457381.736935,16977.930,5.260,HARPS-N
2457385.766716,16967.520,6.830,HARPS-N
2457407.750574,16981.120,3.320,HARPS-N
2457408.751344,16985.600,5.210,HARPS-N
2457412.755794,16998.630,5.400,HARPS-N
2457432.585773,16981.060,4.490,HARPS-N
2457433.662184,16978.580,3.240,HARPS-N
2457436.610707,16971.790,5.270,HARPS-N
2457458.691785,16995.530,5.960,HARPS-N
2457461.678139,16978.880,2.640,HARPS-N
2457462.698921,16970.250,3.280,HARPS-N
2457463.722280,16975.760,4.570,HARPS-N
2457495.570066,16983.370,3.580,HARPS-N
2457498.553283,16985.850,5.630,HARPS-N
2457502.525057,16983.440,4.050,HARPS-N
2457527.501072,16992.010,7.330,HARPS-N
2457528.507025,16984.630,5.070,HARPS-N
2457529.488034,16984.810,3.500,HARPS-N
2457558.416465,16983.480,5.120,HARPS-N
2457559.416677,16994.810,7.580,HARPS-N
2457560.415609,16982.450,4.750,HARPS-N
2457565.415861,16995.190,4.540,HARPS-N
2458909.562804,17006.410,3.730,HARPS-N
2458920.630058,16999.260,3.880,HARPS-N
2459277.568539,17020.250,3.110,HARPS-N
2459278.516655,17021.960,3.170,HARPS-N
2459286.648004,17020.380,5.690,HARPS-N
2459332.589521,17018.180,3.880,HARPS-N
2459342.505721,17033.090,5.420,HARPS-N
2459346.503521,17021.120,5.170,HARPS-N
2459360.435898,17028.440,6.530,HARPS-N
2459364.468228,17018.630,3.370,HARPS-N
2459377.410232,17022.820,4.670,HARPS-N
2459566.716185,17025.190,3.210,HARPS-N
2459581.770270,17020.240,3.760,HARPS-N
2459582.735242,17019.100,4.750,HARPS-N
