bjd,rv_ms,rv_err_ms,instrument
2456762.664923,-21058.480,6.740,HARPS-N
2456764.716925,-21075.410,4.170,HARPS-N
2456765.643094,-21076.370,3.650,HARPS-N
2456769.650762,-21061.180,3.610,HARPS-N
2456783.586102,-21076.090,3.730,HARPS-N
2456784.611888,-21067.230,3.720,HARPS-N
2456785.570795,-21074.140,7.400,HARPS-N
2456798.553312,-21070.190,3.210,HARPS-N
2456799.544267,-21068.000,2.830,HARPS-N
2456801.695360,-21072.820,4.120,HARPS-N
2456813.612660,-21074.080,2.560,HARPS-N
2456814.560228,-21062.810,4.090,HARPS-N
2456815.616160,-21071.050,2.360,HARPS-N
2456816.618045,-21074.070,2.640,HARPS-N
2456829.491465,-21064.530,3.900,HARPS-N
2456830.500549,-21057.890,4.540,HARPS-N
2456832.560223,-21067.920,3.410,HARPS-N
2456845.555123,-21068.730,3.450,HARPS-N
2456846.526937,-21066.370,2.740,HARPS-N
2456848.516435,-21061.200,4.280,HARPS-N
2456849.473204,-21074.010,4.160,HARPS-N
2456850.482050,-21074.440,8.180,HARPS-N
2456851.521538,-21075.040,3.680,HARPS-N
2456852.475738,-21069.270,4.510,HARPS-N
2456853.523850,-21076.830,4.150,HARPS-N
2456862.524386,-21070.880,2.880,HARPS-N
2456863.429418,-21077.680,3.540,HARPS-N
2456864.423291,-21083.970,2.880,HARPS-N
2456865.426149,-21077.730,3.780,HARPS-N
2456866.412886,-21060.290,3.160,HARPS-N
2456883.434186,-21075.610,3.260,HARPS-N
2456883.455916,-21078.210,3.140,HARPS-N
2456884.384233,-21074.370,3.720,HARPS-N
2456884.404945,-21072.450,3.660,HARPS-N
2456885.384394,-21076.880,5.470,HARPS-N
2456885.405505,-21081.330,4.570,HARPS-N
2456886.382251,-21077.070,3.740,HARPS-N
2456886.403140,-21075.570,3.480,HARPS-N
2456887.383043,-21078.260,3.840,HARPS-N
2456887.403058,-21070.440,3.860,HARPS-N
2456888.379596,-21072.420,3.700,HARPS-N
2456888.400694,-21078.220,5.530,HARPS-N
2456889.384128,-21070.220,4.670,HARPS-N
2456889.404945,-21071.750,4.760,HARPS-N
2456903.382589,-21062.850,3.620,HARPS-N
2456903.403608,-21059.010,3.240,HARPS-N
2456919.361142,-21078.910,3.150,HARPS-N
2456919.383700,-21076.130,4.440,HARPS-N
2456922.362025,-21065.690,3.870,HARPS-N
2456923.364374,-21063.690,3.360,HARPS-N
2456924.417789,-21058.790,2.760,HARPS-N
2456929.408791,-21070.710,2.930,HARPS-N
2456934.435657,-21068.400,2.990,HARPS-N
2456936.331251,-21057.510,2.480,HARPS-N
2456939.349337,-21069.640,3.600,HARPS-N
2456961.410931,-21076.890,3.240,HARPS-N
2456967.326116,-21067.250,4.630,HARPS-N
2456968.332395,-21061.610,3.380,HARPS-N
2456969.334753,-21057.730,3.440,HARPS-N
2457106.712101,-21068.600,6.310,HARPS-N
2457107.704205,-21071.650,3.790,HARPS-N
2457115.726053,-21080.310,3.730,HARPS-N
2457116.674164,-21072.850,2.900,HARPS-N
2457117.658642,-21068.570,3.310,HARPS-N
2457118.663289,-21070.450,3.340,HARPS-N
2457121.660189,-21069.840,3.590,HARPS-N
2457122.715829,-21076.930,6.610,HARPS-N
2457153.583018,-21064.160,7.900,HARPS-N
2457156.594809,-21067.200,9.120,HARPS-N
2457159.576355,-21068.640,4.070,HARPS-N
2457160.574234,-21066.290,3.390,HARPS-N
2457161.562465,-21056.880,3.830,HARPS-N
2457180.547523,-21063.580,3.680,HARPS-N
2457181.573463,-21065.800,2.960,HARPS-N
2457182.519545,-21062.980,3.030,HARPS-N
2457183.551164,-21058.400,3.220,HARPS-N
2457184.554623,-21066.220,8.950,HARPS-N
2457185.518057,-21071.610,3.450,HARPS-N
