bjd,rv_ms,rv_err_ms,instrument
2457965.613122,31939.160,1.140,HARPS-N
2457965.691321,31945.030,1.160,HARPS-N
2457969.601765,31942.580,1.590,HARPS-N
2457969.717064,31940.580,1.450,HARPS-N
2457972.581834,31938.610,1.370,HARPS-N
2457973.599703,31940.840,2.030,HARPS-N
2457989.651054,31932.150,1.110,HARPS-N
2457991.620069,31944.350,2.710,HARPS-N
2457992.586581,31944.250,1.000,HARPS-N
2457994.575664,31942.520,1.850,HARPS-N
2457995.577427,31936.160,1.100,HARPS-N
2457996.565314,31936.500,2.190,HARPS-N
2457999.536790,31950.850,1.140,HARPS-N
2458000.539442,31948.580,1.210,HARPS-N
2458001.681420,31944.190,1.490,HARPS-N
2458019.449084,31936.870,2.410,HARPS-N
2458021.449276,31942.230,1.750,HARPS-N
2458021.636320,31941.230,2.600,HARPS-N
2458022.470255,31940.470,1.140,HARPS-N
2458022.579202,31944.670,1.210,HARPS-N
2458025.480806,31935.440,0.770,HARPS-N
2458025.581270,31935.030,0.800,HARPS-N
2458026.501642,31938.620,1.580,HARPS-N
2458026.618142,31935.740,1.330,HARPS-N
2458027.437251,31941.660,2.970,HARPS-N
2458047.363271,31935.320,1.310,HARPS-N
2458047.489774,31935.580,1.320,HARPS-N
2458047.573329,31934.330,1.740,HARPS-N
2458048.359057,31940.850,7.870,HARPS-N
2458049.335691,31941.420,3.070,HARPS-N
2458049.485787,31938.480,2.530,HARPS-N
2458050.374293,31941.110,2.020,HARPS-N
2458050.448791,31943.410,1.470,HARPS-N
2458050.565575,31943.990,1.810,HARPS-N
2458051.552914,31941.680,1.690,HARPS-N
2458052.334695,31930.750,0.970,HARPS-N
2458052.475924,31932.460,1.020,HARPS-N
2458052.552578,31932.990,1.320,HARPS-N
2458053.372944,31930.790,1.910,HARPS-N
2458088.372128,31938.180,1.010,HARPS-N
2458098.321204,31938.380,0.880,HARPS-N
2458098.427330,31942.860,1.160,HARPS-N
2458102.332071,31940.930,1.090,HARPS-N
2458102.410275,31943.940,1.290,HARPS-N
2458103.343117,31939.290,1.140,HARPS-N
2458103.419231,31942.500,1.100,HARPS-N
2459026.685517,31930.490,1.150,HARPS-N
2459077.719493,31942.200,0.850,HARPS-N
2459091.597372,31940.640,1.250,HARPS-N
2459120.635962,31940.970,1.280,HARPS-N
