bjd,rv_ms,rv_err_ms,instrument
2457802.645995,-31487.750,1.620,HARPS-N
2457806.620494,-31490.940,1.640,HARPS-N
2457808.672416,-31489.950,1.230,HARPS-N
2457810.626273,-31494.750,4.720,HARPS-N
2457816.534639,-31495.090,2.140,HARPS-N
2457833.629718,-31489.090,1.690,HARPS-N
2457835.537380,-31487.150,1.670,HARPS-N
2457856.481029,-31490.170,1.510,HARPS-N
2457858.537712,-31489.630,1.490,HARPS-N
2457861.604350,-31488.420,1.880,HARPS-N
2457863.526403,-31486.070,1.210,HARPS-N
2457864.577628,-31489.220,1.060,HARPS-N
2457865.629660,-31484.830,2.550,HARPS-N
2457879.516348,-31489.320,1.220,HARPS-N
2457881.510949,-31487.420,1.340,HARPS-N
2457893.506725,-31489.590,1.130,HARPS-N
2457894.500313,-31486.190,1.540,HARPS-N
2457895.483648,-31487.250,1.500,HARPS-N
2457896.466251,-31486.240,1.190,HARPS-N
2457905.439322,-31483.330,1.520,HARPS-N
2458102.774722,-31493.160,1.910,HARPS-N
2458103.783043,-31485.290,1.660,HARPS-N
2458111.725301,-31489.490,1.770,HARPS-N
2458119.784918,-31483.520,3.910,HARPS-N
2458133.810105,-31487.940,1.940,HARPS-N
2458184.720108,-31488.060,1.980,HARPS-N
2458185.707930,-31486.880,1.830,HARPS-N
2458188.664108,-31482.010,1.370,HARPS-N
2458188.748416,-31478.050,1.520,HARPS-N
2458189.536720,-31483.320,1.490,HARPS-N
2458209.458513,-31485.820,1.250,HARPS-N
2458213.586447,-31491.820,1.160,HARPS-N
2458214.635477,-31490.330,1.230,HARPS-N
2458215.596811,-31489.430,4.020,HARPS-N
2458216.561751,-31488.580,3.150,HARPS-N
2458233.514322,-31486.330,1.370,HARPS-N
2458233.574797,-31486.210,1.740,HARPS-N
2458234.503317,-31490.040,1.410,HARPS-N
2458243.520749,-31490.900,1.620,HARPS-N
2458245.510132,-31488.700,1.370,HARPS-N
2458248.546437,-31487.680,1.130,HARPS-N
2458249.539152,-31486.990,1.710,HARPS-N
2458250.537315,-31487.110,1.420,HARPS-N
2458251.561759,-31486.220,2.640,HARPS-N
2458252.551931,-31484.940,1.420,HARPS-N
2458253.555162,-31481.370,1.590,HARPS-N
2458254.507575,-31483.990,2.540,HARPS-N
2458269.459567,-31483.490,1.310,HARPS-N
2458270.455617,-31483.950,1.580,HARPS-N
2458271.401428,-31483.680,1.260,HARPS-N
2458272.414223,-31485.160,1.310,HARPS-N
2458273.406256,-31482.270,1.690,HARPS-N
2458274.405775,-31483.480,1.170,HARPS-N
2458275.419287,-31485.750,0.950,HARPS-N
2458276.436369,-31487.050,1.140,HARPS-N
2458277.418621,-31485.850,0.940,HARPS-N
2458279.420668,-31489.140,1.030,HARPS-N
2458280.406910,-31486.510,1.020,HARPS-N
2458474.789958,-31490.900,0.980,HARPS-N
2458478.750777,-31486.860,1.610,HARPS-N
2458479.735126,-31490.250,1.200,HARPS-N
2458483.748105,-31487.950,1.470,HARPS-N
2458484.689850,-31484.270,2.780,HARPS-N
2458486.762221,-31494.920,1.350,HARPS-N
2458487.773614,-31488.240,1.510,HARPS-N
2458488.774582,-31488.870,1.870,HARPS-N
2458489.790824,-31489.440,1.950,HARPS-N
2458502.769844,-31485.070,1.200,HARPS-N
2458503.725878,-31492.190,1.370,HARPS-N
2458504.660345,-31489.580,1.840,HARPS-N
2458518.682154,-31496.370,2.240,HARPS-N
2458519.731971,-31496.620,2.660,HARPS-N
2458520.684344,-31495.430,1.310,HARPS-N
2458521.698544,-31495.230,1.020,HARPS-N
2458523.741933,-31490.420,1.370,HARPS-N
2458524.740167,-31493.510,1.430,HARPS-N
2458527.627655,-31492.720,1.600,HARPS-N
2458528.626721,-31491.660,1.600,HARPS-N
2458531.619336,-31486.920,1.550,HARPS-N
2458535.737597,-31495.210,1.780,HARPS-N
2458536.675771,-31497.320,2.250,HARPS-N
2458537.653506,-31496.110,3.230,HARPS-N
2458538.692232,-31489.280,2.550,HARPS-N
2458539.668344,-31495.700,1.700,HARPS-N
2458540.619067,-31492.310,1.650,HARPS-N
2458544.549552,-31488.170,1.590,HARPS-N
2458545.648982,-31487.530,1.760,HARPS-N
2458546.565935,-31483.820,2.530,HARPS-N
2458547.554687,-31485.510,1.290,HARPS-N
2458560.704658,-31483.270,1.980,HARPS-N
2458561.568584,-31485.080,1.760,HARPS-N
2458562.499714,-31484.120,2.880,HARPS-N
2458566.569188,-31488.280,1.310,HARPS-N
2458593.551895,-31491.580,1.590,HARPS-N
2458594.487351,-31486.160,1.440,HARPS-N
2458595.527892,-31488.600,1.410,HARPS-N
2458596.526688,-31487.610,1.500,HARPS-N
2458597.515736,-31488.830,1.260,HARPS-N
2458598.495375,-31489.640,1.020,HARPS-N
2458604.471621,-31487.690,1.360,HARPS-N
2458605.466269,-31490.670,1.150,HARPS-N
2458606.441497,-31488.870,1.120,HARPS-N
2458607.450722,-31489.680,1.010,HARPS-N
2458609.454545,-31485.650,1.640,HARPS-N
2458611.467772,-31486.450,1.160,HARPS-N
2458612.414489,-31487.060,1.060,HARPS-N
2458613.401934,-31489.350,1.230,HARPS-N
2458614.420877,-31488.970,1.190,HARPS-N
2458615.426048,-31490.800,0.950,HARPS-N
2458616.434883,-31492.210,0.970,HARPS-N
2458617.439670,-31493.670,1.360,HARPS-N
2458620.486500,-31483.880,2.690,HARPS-N
2458621.422286,-31488.270,1.460,HARPS-N
2458622.415196,-31488.110,1.540,HARPS-N
2458623.421094,-31486.700,1.170,HARPS-N
2458624.429371,-31483.310,1.710,HARPS-N
2458625.396194,-31485.800,3.090,HARPS-N
2458626.396681,-31481.590,2.800,HARPS-N
2458627.527254,-31479.220,5.760,HARPS-N
2458640.409588,-31489.320,1.220,HARPS-N
2458641.399671,-31487.240,1.650,HARPS-N
2458642.456247,-31484.750,1.300,HARPS-N
2458643.415018,-31482.900,1.340,HARPS-N
2458644.447941,-31485.830,1.880,HARPS-N
2458645.406087,-31488.550,1.840,HARPS-N
2458647.430990,-31493.450,1.300,HARPS-N
