bjd,rv_ms,rv_err_ms,instrument
2456783.677927,13349.060,4.830,HARPS-N
2456784.658660,13336.710,6.210,HARPS-N
2456785.642394,13334.530,8.260,HARPS-N
2456798.599625,13345.250,4.920,HARPS-N
2456799.579612,13349.530,5.960,HARPS-N
2456801.605352,13340.960,4.650,HARPS-N
2456813.692422,13343.000,4.410,HARPS-N
2456814.649209,13350.570,4.610,HARPS-N
2456815.666843,13347.910,4.730,HARPS-N
2456816.663704,13350.910,4.620,HARPS-N
2456829.594649,13349.280,6.210,HARPS-N
2456831.503328,13350.530,4.920,HARPS-N
2456832.538044,13346.590,5.420,HARPS-N
2456845.463492,13349.960,6.180,HARPS-N
2456846.620330,13341.950,6.220,HARPS-N
2456847.588273,13340.490,8.540,HARPS-N
2456848.608043,13337.890,6.320,HARPS-N
2456849.541825,13347.870,10.760,HARPS-N
2456850.572184,13345.470,13.680,HARPS-N
2456851.589201,13331.200,5.930,HARPS-N
2456853.591161,13329.190,6.860,HARPS-N
2457180.593201,13358.980,7.030,HARPS-N
2457181.642145,13332.990,7.680,HARPS-N
2457182.497121,13341.840,5.800,HARPS-N
2457183.529707,13355.560,5.970,HARPS-N
2457185.619817,13357.640,5.470,HARPS-N
2457186.641295,13346.890,5.780,HARPS-N
2457188.636194,13348.440,7.740,HARPS-N
2457189.628694,13336.860,9.980,HARPS-N
2457190.642264,13351.290,5.600,HARPS-N
2457191.642198,13352.390,4.880,HARPS-N
2457192.639737,13345.470,5.730,HARPS-N
2457193.642172,13341.820,4.890,HARPS-N
2457195.678750,13352.790,6.220,HARPS-N
2457221.568134,13341.910,4.730,HARPS-N
2457222.664656,13358.100,5.610,HARPS-N
2457223.483724,13350.610,11.910,HARPS-N
2457225.552604,13358.580,14.020,HARPS-N
2457227.497273,13358.580,7.390,HARPS-N
2457228.588427,13342.530,7.090,HARPS-N
2457229.520131,13339.790,6.750,HARPS-N
2457230.639442,13348.840,6.880,HARPS-N
2457257.437578,13342.650,6.520,HARPS-N
2458727.452520,13350.620,6.880,HARPS-N
2458738.527712,13353.720,8.010,HARPS-N
2458990.712322,13351.360,10.530,HARPS-N
2459007.656098,13346.980,6.670,HARPS-N
2459020.682603,13350.620,6.320,HARPS-N
