bjd,rv_ms,rv_err_ms,instrument
2456117.630102,-4082.050,2.520,HARPS-N
2456117.651341,-4068.220,2.670,HARPS-N
2456126.515502,-4075.690,2.420,HARPS-N
2456126.536683,-4071.810,2.330,HARPS-N
2456128.458397,-4078.200,2.450,HARPS-N
2456128.479624,-4079.450,2.380,HARPS-N
2456148.453458,-4076.170,3.190,HARPS-N
2456148.474638,-4075.470,2.720,HARPS-N
2456152.449252,-4086.010,5.980,HARPS-N
2456160.570544,-4063.050,6.050,HARPS-N
2456160.591747,-4075.660,5.020,HARPS-N
2456175.490928,-4084.210,2.110,HARPS-N
2456251.371222,-4222.400,5.470,HARPS-N
2456251.387775,-4223.590,2.430,HARPS-N
2456396.637446,-4223.260,2.090,HARPS-N
2456398.639168,-4220.240,3.670,HARPS-N
2456402.625409,-4218.090,6.150,HARPS-N
2456418.651075,-4221.070,3.470,HARPS-N
2456420.625976,-4231.060,4.600,HARPS-N
2456422.726989,-4219.160,5.560,HARPS-N
2456432.616017,-4227.580,2.230,HARPS-N
2456434.591486,-4222.540,2.620,HARPS-N
2456436.600354,-4223.800,1.820,HARPS-N
2456456.435658,-4224.300,2.310,HARPS-N
2456460.417397,-4219.580,4.330,HARPS-N
2456466.654859,-4217.700,2.130,HARPS-N
2456478.585626,-4212.560,2.230,HARPS-N
2456480.643560,-4219.630,1.850,HARPS-N
2456481.617213,-4217.250,3.050,HARPS-N
2456495.583293,-4219.360,2.260,HARPS-N
2456496.526356,-4225.190,1.850,HARPS-N
2456498.588515,-4224.760,2.520,HARPS-N
2456499.692434,-4222.610,2.760,HARPS-N
2456500.671094,-4217.580,2.730,HARPS-N
2456510.603826,-4227.760,2.890,HARPS-N
2456530.468329,-4218.750,2.030,HARPS-N
2456544.417017,-4216.770,2.360,HARPS-N
2456546.447052,-4218.930,2.420,HARPS-N
2456554.422561,-4215.770,3.260,HARPS-N
2456565.506368,-4219.840,1.890,HARPS-N
2456763.652591,-4225.530,3.790,HARPS-N
2456784.730217,-4216.780,2.190,HARPS-N
2456800.532650,-4223.290,2.520,HARPS-N
2456814.582718,-4222.670,2.120,HARPS-N
2456816.522957,-4224.110,2.020,HARPS-N
2456830.545483,-4221.250,2.500,HARPS-N
2456847.520326,-4223.050,2.850,HARPS-N
2456865.448408,-4225.320,2.880,HARPS-N
2456884.566947,-4220.770,2.200,HARPS-N
2456886.573866,-4220.950,2.280,HARPS-N
2456939.442343,-4220.830,2.270,HARPS-N
2456969.426883,-4225.090,4.210,HARPS-N
2459297.730311,-4219.450,2.750,HARPS-N
2459325.709630,-4223.840,2.260,HARPS-N
2459338.705370,-4218.410,2.910,HARPS-N
