bjd,rv_ms,rv_err_ms,instrument
2454835.809755,-202.600,29.450,CORALIE
2454837.773728,-84.570,31.630,CORALIE
2454840.765776,-79.740,37.520,CORALIE
2454880.767231,-206.510,37.220,CORALIE
2454939.627676,-75.280,34.710,CORALIE
2454941.567460,-193.720,27.210,CORALIE
2454942.654757,-123.240,25.980,CORALIE
2454943.610624,-79.390,34.350,CORALIE
2454944.555415,-165.780,26.200,CORALIE
2454945.544750,-161.580,32.200,CORALIE
2454946.591778,-44.220,34.410,CORALIE
2454947.555094,-140.750,26.560,CORALIE
2454948.588069,-182.740,28.610,CORALIE
2454950.597039,-86.670,30.090,CORALIE
2454951.608264,-228.210,33.660,CORALIE
2454971.548671,-28.060,77.630,CORALIE
2454973.489951,-91.890,30.840,CORALIE
2454974.608541,-21.300,32.250,CORALIE
2454975.511060,-126.280,33.810,CORALIE
2454983.595539,-100.280,44.150,CORALIE
2454984.467744,-61.120,28.950,CORALIE
2454985.530406,-188.860,30.320,CORALIE
2454994.508045,-97.350,32.370,CORALIE
2454994.531307,-94.840,34.690,CORALIE
2454995.463376,-122.460,35.470,CORALIE
2454995.486741,-209.990,32.140,CORALIE
2454996.459605,-190.340,34.720,CORALIE
2454996.482971,-109.840,31.170,CORALIE
2454999.536757,-219.800,55.220,CORALIE
2454999.560099,-156.700,65.600,CORALIE
2455006.521354,-184.930,42.170,CORALIE
2455012.492297,-96.670,37.390,CORALIE
2455013.497045,-190.820,44.590,CORALIE
2455029.465780,-116.600,50.410,CORALIE
2455168.846768,-153.890,18.520,CORALIE
2455203.782854,-201.520,20.840,CORALIE
2455290.715577,-93.510,18.090,CORALIE
2455291.699859,-122.730,18.210,CORALIE
2455293.696819,-74.550,19.870,CORALIE
2455294.733907,-97.850,19.250,CORALIE
2455296.704921,-131.680,17.720,CORALIE
2455298.496133,-156.380,8.960,HARPS
2455298.693406,-182.100,17.180,CORALIE
2455298.749145,-172.180,9.310,HARPS
2455299.504441,-171.410,11.140,HARPS
2455299.716991,-295.410,48.000,HARPS
2455300.509357,-79.100,11.380,HARPS
2455300.589643,-67.060,22.500,CORALIE
2455300.742948,-85.870,11.610,HARPS
2455301.582822,-115.160,9.340,HARPS
2455301.780360,-150.310,17.380,HARPS
2455305.613529,-181.660,10.960,HARPS
2455307.584640,-64.750,8.090,HARPS
2455326.628560,-138.310,19.450,CORALIE
2455327.604475,-80.930,27.370,CORALIE
2455328.608442,-99.120,19.130,CORALIE
2455334.544675,-55.710,21.290,CORALIE
