bjd,rv_ms,rv_err_ms,instrument
2457972.642391,-3404.290,2.170,HARPS-N
2457989.571677,-3401.180,3.450,HARPS-N
2457991.553196,-3390.800,3.950,HARPS-N
2457991.656885,-3402.270,4.050,HARPS-N
2457992.564895,-3414.010,1.610,HARPS-N
2457992.647092,-3406.930,1.480,HARPS-N
2457992.737182,-3417.860,2.220,HARPS-N
2457993.569005,-3422.310,1.450,HARPS-N
2457993.649707,-3428.750,4.530,HARPS-N
2457994.540226,-3421.210,1.270,HARPS-N
2457994.614332,-3415.740,7.690,HARPS-N
2457994.726301,-3423.250,1.650,HARPS-N
2457995.521310,-3418.460,2.100,HARPS-N
2457995.613168,-3419.110,1.660,HARPS-N
2457996.519648,-3400.350,4.690,HARPS-N
2457996.586905,-3400.180,3.200,HARPS-N
2457996.696770,-3409.670,3.060,HARPS-N
2457997.518889,-3408.180,7.580,HARPS-N
2457999.514325,-3419.230,1.770,HARPS-N
2457999.683151,-3409.480,1.720,HARPS-N
2458000.517294,-3408.220,1.900,HARPS-N
2458000.587327,-3414.700,1.940,HARPS-N
2458000.661400,-3423.530,2.310,HARPS-N
2458001.483841,-3416.580,1.570,HARPS-N
2458001.659262,-3404.980,1.750,HARPS-N
2458011.441099,-3394.370,2.060,HARPS-N
2458011.463972,-3397.660,1.990,HARPS-N
2458011.492837,-3401.330,1.870,HARPS-N
2458011.514782,-3402.260,1.950,HARPS-N
2458011.537045,-3405.040,1.840,HARPS-N
2458011.559660,-3404.220,1.460,HARPS-N
2458011.588087,-3406.980,2.050,HARPS-N
2458011.611718,-3408.150,1.580,HARPS-N
2458011.634613,-3403.410,1.840,HARPS-N
2458019.530387,-3415.970,3.440,HARPS-N
2458019.576096,-3420.370,3.730,HARPS-N
2458021.485174,-3415.330,2.720,HARPS-N
2458021.550035,-3416.610,3.680,HARPS-N
2458022.507855,-3424.610,1.870,HARPS-N
2458022.613117,-3414.100,2.060,HARPS-N
2458025.440973,-3394.350,1.120,HARPS-N
2458025.604040,-3406.640,1.320,HARPS-N
2458026.439462,-3401.450,2.260,HARPS-N
2458026.524119,-3391.960,2.400,HARPS-N
2458820.385845,-3406.900,4.290,HARPS-N
2459416.667143,-3414.350,1.920,HARPS-N
2459442.689993,-3392.560,2.230,HARPS-N
2459459.571626,-3407.230,1.760,HARPS-N
2459473.565133,-3413.830,2.860,HARPS-N
