bjd,rv_ms,rv_err_ms,instrument
2458275.444658,-46784.400,0.570,HARPS-N
2458276.461383,-46785.280,0.740,HARPS-N
2458277.443665,-46785.330,0.590,HARPS-N
2458279.494137,-46780.790,0.660,HARPS-N
2458280.431983,-46782.300,0.770,HARPS-N
2458296.393556,-46784.450,0.790,HARPS-N
2458524.640336,-46785.840,1.000,HARPS-N
2458525.663864,-46780.910,2.060,HARPS-N
2458526.704061,-46782.050,0.850,HARPS-N
2458527.696039,-46786.990,0.920,HARPS-N
2458528.704172,-46787.180,1.030,HARPS-N
2458531.743259,-46781.240,0.880,HARPS-N
2458535.759472,-46787.790,1.190,HARPS-N
2458536.697735,-46783.210,1.650,HARPS-N
2458537.676130,-46777.710,1.990,HARPS-N
2458539.690807,-46787.560,1.070,HARPS-N
2458540.641215,-46786.740,1.070,HARPS-N
2458912.652269,-46782.360,0.870,HARPS-N
2458921.611192,-46777.340,1.110,HARPS-N
2458924.690237,-46786.400,0.980,HARPS-N
2459336.600912,-46778.900,1.030,HARPS-N
2459345.527699,-46774.610,1.030,HARPS-N
2459363.510122,-46778.020,0.810,HARPS-N
2459366.477078,-46775.430,0.850,HARPS-N
2459378.495670,-46775.930,0.920,HARPS-N
