bjd,rv_ms,rv_err_ms,instrument
2457379.632383,29838.040,1.610,HARPS-N
2457380.646072,29840.080,2.430,HARPS-N
2457381.652663,29841.210,2.410,HARPS-N
2457382.682541,29844.200,3.630,HARPS-N
2457385.646384,29832.680,2.880,HARPS-N
2457407.563061,29835.960,1.670,HARPS-N
2457408.548570,29833.530,2.120,HARPS-N
2457412.551018,29831.400,1.670,HARPS-N
2457413.589291,29834.230,2.770,HARPS-N
2457414.613058,29835.550,2.340,HARPS-N
2457432.499247,29843.150,2.320,HARPS-N
2457433.478276,29837.380,1.730,HARPS-N
2457436.485682,29835.360,1.970,HARPS-N
2457458.455039,29833.820,1.810,HARPS-N
2457459.457026,29837.120,3.930,HARPS-N
2457460.574380,29835.950,1.980,HARPS-N
2457461.451692,29838.450,1.890,HARPS-N
2457462.515331,29835.550,2.190,HARPS-N
2457463.527464,29831.330,1.780,HARPS-N
2457502.449745,29834.710,2.750,HARPS-N
2457528.384316,29842.300,2.520,HARPS-N
2457529.387556,29839.990,1.990,HARPS-N
2457670.726012,29835.930,2.330,HARPS-N
2457671.722968,29835.360,1.960,HARPS-N
2457672.725158,29836.540,2.110,HARPS-N
2457673.723303,29834.870,1.900,HARPS-N
2457701.762380,29841.440,2.620,HARPS-N
2457702.774570,29832.700,3.790,HARPS-N
2457703.724132,29838.030,2.840,HARPS-N
2457732.672265,29837.890,1.740,HARPS-N
2457749.674630,29842.870,1.950,HARPS-N
2457756.619493,29830.390,5.620,HARPS-N
2457762.537319,29836.430,2.940,HARPS-N
2457769.639533,29832.540,4.750,HARPS-N
2457771.583897,29837.160,1.990,HARPS-N
2457790.612468,29841.630,1.740,HARPS-N
2457803.439953,29837.530,2.390,HARPS-N
2457807.474569,29840.160,2.060,HARPS-N
2457809.570775,29832.420,2.230,HARPS-N
2457814.564639,29836.110,2.000,HARPS-N
2457815.572452,29836.260,5.250,HARPS-N
2457816.397064,29833.870,1.970,HARPS-N
2457817.396103,29832.380,3.350,HARPS-N
2457823.434096,29841.760,4.010,HARPS-N
2457833.439260,29841.290,3.020,HARPS-N
2457833.549560,29834.190,3.240,HARPS-N
2457834.432910,29840.470,2.410,HARPS-N
2457835.489434,29837.610,3.500,HARPS-N
2457856.399361,29838.640,2.400,HARPS-N
2457860.418359,29841.610,3.420,HARPS-N
2457864.415111,29835.810,1.640,HARPS-N
2457865.439992,29835.980,1.620,HARPS-N
2458050.715855,29839.170,3.240,HARPS-N
2458050.737064,29837.140,2.240,HARPS-N
2458051.739401,29844.600,2.410,HARPS-N
2458051.759466,29841.780,2.330,HARPS-N
2458052.716350,29839.950,2.560,HARPS-N
2458052.735889,29840.430,2.430,HARPS-N
2458098.717656,29843.350,1.880,HARPS-N
2458102.691228,29838.470,1.920,HARPS-N
2458102.713062,29837.200,2.130,HARPS-N
2458103.741980,29837.760,3.090,HARPS-N
2458103.764512,29837.200,2.460,HARPS-N
2458119.583398,29833.310,5.210,HARPS-N
2458120.560714,29836.450,4.670,HARPS-N
2458120.656002,29838.060,5.570,HARPS-N
2458417.700000,29839.780,1.950,HARPS-N
2458453.782921,29834.950,2.010,HARPS-N
2458829.709659,29834.870,7.610,HARPS-N
2458831.658983,29837.770,2.100,HARPS-N
2458841.714286,29835.630,4.920,HARPS-N
2458845.574960,29837.800,2.580,HARPS-N
2458847.694946,29838.530,2.490,HARPS-N
2458848.755216,29835.550,2.760,HARPS-N
2458849.674879,29841.280,1.910,HARPS-N
2458850.641386,29839.890,1.640,HARPS-N
2458851.665427,29838.750,1.800,HARPS-N
2458853.613919,29838.910,1.860,HARPS-N
2458854.588514,29841.740,2.560,HARPS-N
2458884.451840,29842.270,3.350,HARPS-N
2458885.530253,29833.260,1.470,HARPS-N
2458886.451466,29833.580,1.560,HARPS-N
2458887.444731,29831.610,1.360,HARPS-N
2458889.518258,29833.280,1.430,HARPS-N
2458906.449747,29840.860,7.350,HARPS-N
2458908.429875,29841.480,1.950,HARPS-N
2458909.396031,29844.080,1.770,HARPS-N
2458910.427566,29842.090,2.020,HARPS-N
2458911.580522,29839.140,3.070,HARPS-N
2458912.416127,29840.120,2.210,HARPS-N
2458920.527094,29844.300,2.620,HARPS-N
2458921.520921,29834.980,1.440,HARPS-N
2458922.449671,29841.140,26.210,HARPS-N
2458923.483754,29840.620,2.350,HARPS-N
2458924.550224,29843.090,3.760,HARPS-N
