bjd,rv_ms,rv_err_ms,instrument
2456830.523739,-28620.810,5.460,HARPS-N
2456831.456673,-28614.760,3.950,HARPS-N
2456845.652129,-28607.120,3.930,HARPS-N
2456846.550712,-28604.610,4.010,HARPS-N
2456848.539918,-28612.220,4.910,HARPS-N
2456850.502820,-28603.440,6.410,HARPS-N
2456851.544324,-28614.450,4.450,HARPS-N
2456862.547473,-28606.540,4.130,HARPS-N
2456863.510231,-28601.950,4.830,HARPS-N
2456864.516378,-28610.190,3.450,HARPS-N
2456865.557846,-28596.210,3.640,HARPS-N
2456866.506194,-28609.320,5.690,HARPS-N
2457186.539033,-28604.580,3.930,HARPS-N
2457188.591997,-28612.200,7.800,HARPS-N
2457189.583164,-28605.700,4.770,HARPS-N
2457190.595824,-28606.000,4.540,HARPS-N
2457191.596851,-28612.850,3.850,HARPS-N
2457192.593447,-28608.200,3.940,HARPS-N
2457193.595954,-28612.100,3.700,HARPS-N
2457195.700777,-28604.500,5.320,HARPS-N
2457221.484819,-28602.630,3.830,HARPS-N
2457222.458915,-28601.220,4.640,HARPS-N
2457223.643405,-28600.770,8.390,HARPS-N
2457225.613066,-28591.410,11.590,HARPS-N
2457226.499306,-28609.360,7.770,HARPS-N
2457227.474804,-28600.450,6.080,HARPS-N
2457228.500993,-28601.680,5.110,HARPS-N
2457229.498904,-28607.250,5.380,HARPS-N
2457230.617353,-28615.360,5.060,HARPS-N
2457254.492564,-28603.060,6.220,HARPS-N
2457255.553070,-28602.790,11.570,HARPS-N
2457256.570144,-28597.350,4.440,HARPS-N
2457257.505389,-28599.590,4.290,HARPS-N
2457267.530249,-28605.420,3.930,HARPS-N
2457269.488806,-28607.590,4.570,HARPS-N
2457270.476460,-28608.180,3.620,HARPS-N
2457271.479380,-28614.350,3.310,HARPS-N
2457272.518559,-28607.760,4.260,HARPS-N
2457273.495009,-28605.240,4.060,HARPS-N
2457301.456326,-28601.170,4.330,HARPS-N
2457302.456947,-28599.130,4.870,HARPS-N
2458361.451419,-28620.960,9.970,HARPS-N
2458364.471448,-28615.050,4.840,HARPS-N
2458365.474790,-28615.390,3.400,HARPS-N
2458378.463280,-28608.900,5.370,HARPS-N
2458379.484734,-28616.170,4.250,HARPS-N
2458380.426345,-28618.160,4.250,HARPS-N
2458381.450003,-28618.840,3.970,HARPS-N
2458382.432759,-28609.180,3.570,HARPS-N
2458383.433581,-28615.690,4.770,HARPS-N
2458384.433714,-28615.170,4.000,HARPS-N
2458385.449855,-28607.460,4.770,HARPS-N
2458386.512764,-28613.220,5.460,HARPS-N
2458388.482428,-28617.920,4.920,HARPS-N
2458391.498544,-28610.320,7.090,HARPS-N
2458393.444933,-28610.750,4.570,HARPS-N
2458394.428638,-28619.370,4.150,HARPS-N
2458395.335299,-28616.750,6.420,HARPS-N
2458404.415207,-28613.310,4.900,HARPS-N
2458424.333433,-28616.630,12.870,HARPS-N
