bjd,rv_ms,rv_err_ms,instrument
2456845.715804,-3305.900,1.090,HARPS-N
2456846.706983,-3303.180,1.360,HARPS-N
2456847.700848,-3303.200,2.370,HARPS-N
2456848.696279,-3302.860,1.090,HARPS-N
2456849.631498,-3298.930,1.870,HARPS-N
2456850.703702,-3298.200,1.210,HARPS-N
2456851.697858,-3299.240,1.050,HARPS-N
2456852.699254,-3299.900,1.870,HARPS-N
2456853.700763,-3305.060,1.290,HARPS-N
2456858.665235,-3300.750,1.190,HARPS-N
2456859.678794,-3300.480,1.350,HARPS-N
2456860.626564,-3298.310,0.940,HARPS-N
2456861.627354,-3301.380,1.050,HARPS-N
2456863.726851,-3302.460,1.170,HARPS-N
2456864.719374,-3304.550,0.850,HARPS-N
2456865.723836,-3302.380,1.010,HARPS-N
2456866.720506,-3299.910,1.840,HARPS-N
2456874.636134,-3301.390,1.270,HARPS-N
2456876.645028,-3298.340,2.250,HARPS-N
2456877.666582,-3294.820,1.280,HARPS-N
2456878.702408,-3295.380,1.190,HARPS-N
2456883.706186,-3302.780,2.020,HARPS-N
2456883.734850,-3307.940,1.910,HARPS-N
2456884.712423,-3304.260,1.310,HARPS-N
2456884.741211,-3300.750,1.340,HARPS-N
2456885.708784,-3302.470,1.540,HARPS-N
2456885.737455,-3301.430,1.470,HARPS-N
2456886.668074,-3298.800,5.430,HARPS-N
2456886.721977,-3297.990,1.670,HARPS-N
2456887.717131,-3294.360,1.210,HARPS-N
2456887.745501,-3297.460,1.220,HARPS-N
2456888.565750,-3296.580,1.940,HARPS-N
2456888.656339,-3302.070,1.820,HARPS-N
2456889.569566,-3300.420,1.620,HARPS-N
2456889.665308,-3302.070,3.150,HARPS-N
2456890.572365,-3303.560,1.280,HARPS-N
2456890.643117,-3304.070,1.070,HARPS-N
2456919.534833,-3304.150,1.640,HARPS-N
2456919.544660,-3300.040,1.400,HARPS-N
2456923.540165,-3294.300,0.960,HARPS-N
2456923.550787,-3295.850,1.000,HARPS-N
2456924.533892,-3293.550,1.580,HARPS-N
2456924.544722,-3297.700,1.140,HARPS-N
2456931.545557,-3300.570,1.400,HARPS-N
2456939.467246,-3298.800,0.950,HARPS-N
2456939.477700,-3299.470,1.010,HARPS-N
2457012.359281,-3295.330,2.070,HARPS-N
2457012.371396,-3299.120,2.190,HARPS-N
2457014.357021,-3296.070,1.900,HARPS-N
2457014.367974,-3291.590,1.740,HARPS-N
2457016.379805,-3296.230,1.460,HARPS-N
2457016.390588,-3296.110,1.590,HARPS-N
2457018.345684,-3301.970,1.650,HARPS-N
2457018.356504,-3298.090,1.780,HARPS-N
2457020.337119,-3297.170,1.130,HARPS-N
2457020.347774,-3297.780,1.150,HARPS-N
2457221.724988,-3295.110,1.260,HARPS-N
2457223.624078,-3292.530,2.660,HARPS-N
2457225.684161,-3290.370,1.030,HARPS-N
2457227.693856,-3297.160,1.170,HARPS-N
2457229.718596,-3302.890,1.210,HARPS-N
2457380.336483,-3303.260,0.960,HARPS-N
2457381.349331,-3306.200,1.260,HARPS-N
2457382.351016,-3308.800,0.850,HARPS-N
2457384.336334,-3304.300,1.080,HARPS-N
2457385.371265,-3298.020,1.300,HARPS-N
2457407.310068,-3299.090,1.550,HARPS-N
2457408.311816,-3303.630,1.520,HARPS-N
2457409.311646,-3303.170,2.170,HARPS-N
2457412.310961,-3299.690,3.280,HARPS-N
2457413.310324,-3292.870,2.700,HARPS-N
2457573.691316,-3307.290,1.640,HARPS-N
2457576.654152,-3300.810,1.500,HARPS-N
2457655.559241,-3301.270,1.700,HARPS-N
2457656.546922,-3303.810,2.270,HARPS-N
2457657.513758,-3301.440,2.070,HARPS-N
2457658.572185,-3297.880,1.710,HARPS-N
2457659.558525,-3297.570,1.470,HARPS-N
2457661.545864,-3298.710,1.210,HARPS-N
2457669.518724,-3297.950,1.780,HARPS-N
2457671.566147,-3298.020,1.080,HARPS-N
2457699.447593,-3304.100,1.170,HARPS-N
2457701.476788,-3300.590,4.540,HARPS-N
2457702.494517,-3302.600,2.480,HARPS-N
2457721.431702,-3298.320,1.160,HARPS-N
2457737.319939,-3304.030,1.170,HARPS-N
2457749.358631,-3299.980,0.950,HARPS-N
2457754.326200,-3294.050,1.480,HARPS-N
2457949.699116,-3301.920,1.650,HARPS-N
2457954.674607,-3306.420,1.150,HARPS-N
2457954.685449,-3308.830,1.130,HARPS-N
2457972.598904,-3300.140,1.660,HARPS-N
2457992.603627,-3301.190,1.260,HARPS-N
2457998.600654,-3295.460,3.080,HARPS-N
2458047.512601,-3302.960,1.050,HARPS-N
2458094.383490,-3298.710,2.130,HARPS-N
2459025.726408,-3291.570,1.640,HARPS-N
2459060.714074,-3294.120,1.300,HARPS-N
2459078.697427,-3287.740,1.100,HARPS-N
2459092.565355,-3293.950,1.910,HARPS-N
2459119.667328,-3298.540,1.540,HARPS-N
2459127.622709,-3288.820,1.810,HARPS-N
2459130.543549,-3293.920,1.590,HARPS-N
2459134.570915,-3287.050,1.910,HARPS-N
2459137.529893,-3293.840,1.460,HARPS-N
2459155.440928,-3297.320,1.700,HARPS-N
2459189.420700,-3291.350,1.360,HARPS-N
2459212.359525,-3289.780,2.370,HARPS-N
