bjd,rv_ms,rv_err_ms,instrument
2457521.602924,-36038.800,2.900,HARPS-N
2457522.571180,-36035.500,2.570,HARPS-N
2457525.584995,-36047.030,2.590,HARPS-N
2457526.587613,-36038.750,3.540,HARPS-N
2457527.567914,-36036.270,3.900,HARPS-N
2457528.587954,-36041.700,2.540,HARPS-N
2457529.582051,-36033.850,2.520,HARPS-N
2457530.584263,-36036.420,5.080,HARPS-N
2457531.587068,-36038.200,4.770,HARPS-N
2457562.465787,-36030.540,2.150,HARPS-N
2457563.479559,-36040.280,3.950,HARPS-N
2457565.503428,-36035.250,3.110,HARPS-N
2457573.450351,-36039.910,2.940,HARPS-N
2457574.447005,-36038.080,2.290,HARPS-N
2457575.399020,-36037.720,1.560,HARPS-N
2457576.424618,-36043.710,2.510,HARPS-N
2457855.698578,-36036.790,3.140,HARPS-N
2457856.661785,-36036.330,2.210,HARPS-N
2457857.677895,-36040.830,2.480,HARPS-N
2457862.678487,-36041.800,3.800,HARPS-N
2457863.669174,-36035.450,3.120,HARPS-N
2457864.626663,-36037.290,1.920,HARPS-N
2457879.631133,-36039.490,2.450,HARPS-N
2457880.633931,-36039.730,1.960,HARPS-N
2457881.604008,-36039.680,3.230,HARPS-N
2457893.572982,-36046.100,1.670,HARPS-N
2457894.580363,-36045.850,1.830,HARPS-N
2457898.666792,-36047.470,1.840,HARPS-N
2457905.562520,-36047.160,2.730,HARPS-N
2457915.501592,-36043.920,3.350,HARPS-N
2457929.500876,-36036.090,4.850,HARPS-N
2457930.484585,-36035.150,5.170,HARPS-N
2457932.489846,-36029.290,2.690,HARPS-N
2457933.485696,-36040.280,2.200,HARPS-N
2457934.481414,-36044.320,2.730,HARPS-N
2457937.483647,-36044.870,2.960,HARPS-N
2457942.421381,-36041.880,2.530,HARPS-N
2457943.449622,-36042.260,2.090,HARPS-N
2457949.447657,-36043.900,2.750,HARPS-N
2457950.421682,-36046.280,3.060,HARPS-N
