bjd,rv_ms,rv_err_ms,instrument
2456765.731044,7681.760,1.700,HARPS-N
2456769.696370,7683.920,2.740,HARPS-N
2456783.700590,7680.300,1.710,HARPS-N
2456785.710577,7676.200,2.060,HARPS-N
2456798.720003,7683.310,1.560,HARPS-N
2456799.685905,7674.620,1.720,HARPS-N
2456800.570239,7677.350,1.760,HARPS-N
2456801.565677,7674.530,1.770,HARPS-N
2456802.630391,7673.610,2.850,HARPS-N
2456803.646134,7672.580,3.040,HARPS-N
2456814.715636,7686.460,1.610,HARPS-N
2456815.711754,7677.340,1.580,HARPS-N
2456816.707236,7678.160,1.540,HARPS-N
2456828.596227,7685.040,1.730,HARPS-N
2456829.689136,7683.050,1.730,HARPS-N
2456832.639518,7680.440,1.830,HARPS-N
2456833.587069,7679.290,2.500,HARPS-N
2456834.657521,7676.220,2.390,HARPS-N
2456835.567421,7680.920,1.920,HARPS-N
2456835.711417,7676.060,2.140,HARPS-N
2456836.695720,7679.290,2.930,HARPS-N
2456845.531009,7681.260,1.740,HARPS-N
2456846.687550,7678.080,1.950,HARPS-N
2456847.679864,7681.140,2.930,HARPS-N
2456848.675973,7678.740,1.940,HARPS-N
2456849.610913,7677.790,2.410,HARPS-N
2456850.684672,7676.630,2.010,HARPS-N
2456851.678662,7675.770,1.760,HARPS-N
2456852.680012,7680.630,3.310,HARPS-N
2456853.681079,7673.880,2.100,HARPS-N
2456862.697827,7676.390,2.000,HARPS-N
2456863.669040,7677.930,2.680,HARPS-N
2456864.702013,7681.700,1.690,HARPS-N
2456865.705803,7680.070,1.710,HARPS-N
2456866.703289,7674.780,3.540,HARPS-N
2456883.663647,7679.080,3.210,HARPS-N
2456883.684225,7681.260,4.040,HARPS-N
2456884.671170,7679.420,2.100,HARPS-N
2456884.691775,7684.170,2.640,HARPS-N
2456885.666705,7685.090,2.400,HARPS-N
2456885.688466,7681.990,2.590,HARPS-N
2456887.675570,7678.580,2.090,HARPS-N
2456887.696509,7681.390,2.150,HARPS-N
2456888.604242,7680.480,3.250,HARPS-N
2456888.626201,7681.490,3.790,HARPS-N
2456889.613945,7683.520,2.430,HARPS-N
2456889.635248,7682.480,2.790,HARPS-N
2456890.491480,7684.090,3.080,HARPS-N
2456890.549978,7686.040,2.090,HARPS-N
2456903.515809,7682.680,1.530,HARPS-N
2457116.740577,7683.170,1.600,HARPS-N
2457117.726437,7681.230,1.890,HARPS-N
2457118.728733,7682.580,2.760,HARPS-N
2457121.704918,7681.150,1.890,HARPS-N
2457123.696969,7687.090,2.950,HARPS-N
2457153.708562,7683.760,2.740,HARPS-N
2457156.690913,7688.770,8.230,HARPS-N
2457158.672369,7685.730,3.040,HARPS-N
2457159.696792,7682.660,1.830,HARPS-N
2457160.684523,7682.790,1.710,HARPS-N
2457161.677257,7685.950,1.670,HARPS-N
2457221.651433,7680.630,1.590,HARPS-N
2457222.591120,7685.820,1.860,HARPS-N
2457223.543732,7683.190,2.680,HARPS-N
2457225.635566,7678.890,4.240,HARPS-N
2457225.658135,7688.050,4.550,HARPS-N
2457226.629330,7682.830,2.610,HARPS-N
2457227.651673,7681.080,1.770,HARPS-N
2457228.653987,7681.150,3.610,HARPS-N
2457229.652888,7678.140,2.690,HARPS-N
