bjd,rv_ms,rv_err_ms,instrument
2456762.640150,-19312.290,1.960,HARPS-N
2456764.648298,-19316.360,1.440,HARPS-N
2456765.623443,-19328.110,1.400,HARPS-N
2456766.637978,-19326.930,6.020,HARPS-N
2456768.670097,-19320.190,1.720,HARPS-N
2456769.738245,-19317.730,1.180,HARPS-N
2456783.561877,-19323.280,1.170,HARPS-N
2456784.565624,-19324.550,1.130,HARPS-N
2456785.618436,-19327.080,1.470,HARPS-N
2456798.577090,-19316.810,0.960,HARPS-N
2456799.562146,-19319.600,1.330,HARPS-N
2456800.552545,-19317.520,1.160,HARPS-N
2456801.524986,-19313.440,1.280,HARPS-N
2456802.540593,-19314.480,2.040,HARPS-N
2456803.573631,-19314.530,1.790,HARPS-N
2456813.517104,-19321.390,0.850,HARPS-N
2456814.537845,-19309.440,0.960,HARPS-N
2456816.640633,-19313.750,0.900,HARPS-N
2456828.450031,-19303.820,1.750,HARPS-N
2456829.424209,-19311.370,1.230,HARPS-N
2456830.454979,-19316.290,1.010,HARPS-N
2456831.714757,-19311.620,1.000,HARPS-N
2456832.469668,-19313.900,1.110,HARPS-N
2456833.532251,-19321.960,1.360,HARPS-N
2456834.452650,-19317.570,1.120,HARPS-N
2456835.498540,-19323.740,1.170,HARPS-N
2456836.453052,-19314.680,1.700,HARPS-N
2456836.614953,-19311.950,1.390,HARPS-N
2456845.434332,-19312.560,1.320,HARPS-N
2456846.482168,-19322.270,0.910,HARPS-N
2456847.440482,-19322.630,1.680,HARPS-N
2456848.403612,-19315.290,1.470,HARPS-N
2456849.405141,-19317.980,1.630,HARPS-N
2456850.412811,-19317.190,3.050,HARPS-N
2456851.409195,-19314.900,0.900,HARPS-N
2456852.408359,-19323.400,1.550,HARPS-N
2456853.411801,-19313.580,1.250,HARPS-N
2456863.633744,-19315.310,2.120,HARPS-N
2456863.681505,-19315.800,1.960,HARPS-N
2456864.498868,-19314.140,1.200,HARPS-N
2456864.623241,-19313.750,1.420,HARPS-N
2456865.516000,-19316.070,1.300,HARPS-N
2456865.652755,-19316.020,1.720,HARPS-N
2456866.490763,-19322.660,1.560,HARPS-N
2456866.603273,-19327.180,2.560,HARPS-N
2457115.685715,-19319.700,1.970,HARPS-N
2457122.654426,-19325.170,1.510,HARPS-N
2457156.576461,-19315.960,3.230,HARPS-N
2457158.601136,-19326.210,2.720,HARPS-N
2457159.595022,-19322.140,1.850,HARPS-N
2457160.592548,-19316.100,1.370,HARPS-N
2457160.702729,-19319.200,1.240,HARPS-N
2457161.579706,-19321.660,1.570,HARPS-N
2457161.695909,-19320.760,1.320,HARPS-N
2457180.507157,-19313.310,1.320,HARPS-N
2457180.722974,-19318.600,1.350,HARPS-N
2457181.488833,-19315.010,1.470,HARPS-N
2457181.727924,-19310.780,1.310,HARPS-N
2457182.479524,-19320.910,1.610,HARPS-N
2457182.690131,-19313.810,1.310,HARPS-N
2457183.511972,-19321.870,1.500,HARPS-N
2457183.717886,-19318.950,1.630,HARPS-N
2457184.480727,-19324.360,2.920,HARPS-N
2457184.691143,-19324.340,2.020,HARPS-N
2457185.478737,-19323.110,1.430,HARPS-N
2457185.682700,-19319.710,1.440,HARPS-N
2457186.476692,-19320.840,1.450,HARPS-N
2457186.705014,-19312.430,1.250,HARPS-N
2457188.484324,-19315.970,1.790,HARPS-N
2457188.699423,-19319.040,1.450,HARPS-N
2457189.476777,-19318.450,1.880,HARPS-N
2457189.691452,-19317.850,1.820,HARPS-N
2457190.489096,-19317.500,1.650,HARPS-N
2457190.705527,-19314.920,1.370,HARPS-N
2457191.489432,-19314.660,1.310,HARPS-N
2457191.705165,-19315.790,1.340,HARPS-N
2457192.486582,-19317.840,1.390,HARPS-N
2457192.703158,-19316.470,1.350,HARPS-N
2457193.489703,-19306.260,1.370,HARPS-N
2457193.704008,-19313.320,1.300,HARPS-N
2457195.489392,-19315.140,1.840,HARPS-N
2457195.638066,-19314.470,1.780,HARPS-N
2458250.708840,-19335.710,3.610,HARPS-N
2458296.649110,-19326.550,1.090,HARPS-N
2458309.549775,-19326.470,1.230,HARPS-N
2458311.575361,-19334.070,1.780,HARPS-N
2458314.460132,-19326.130,1.240,HARPS-N
2458324.624283,-19327.100,1.110,HARPS-N
2458326.584730,-19332.030,1.660,HARPS-N
2458328.531430,-19327.120,1.290,HARPS-N
2458330.606460,-19321.600,1.120,HARPS-N
2458341.537979,-19325.310,1.010,HARPS-N
2458342.408082,-19329.690,2.170,HARPS-N
2458345.511088,-19331.350,1.000,HARPS-N
2458356.516074,-19335.420,0.910,HARPS-N
2458679.535673,-19329.570,1.200,HARPS-N
2458715.487738,-19328.190,1.390,HARPS-N
2458734.458539,-19317.000,1.880,HARPS-N
