bjd,rv_ms,rv_err_ms,instrument
2457522.675879,-20893.210,1.010,HARPS-N
2457525.666505,-20890.270,1.190,HARPS-N
2457526.643453,-20887.980,1.540,HARPS-N
2457528.654755,-20887.800,1.120,HARPS-N
2457529.667306,-20892.460,1.300,HARPS-N
2457530.671368,-20888.140,1.360,HARPS-N
2457531.608078,-20887.940,1.690,HARPS-N
2457557.603553,-20888.200,1.400,HARPS-N
2457558.516716,-20887.030,1.530,HARPS-N
2457559.595294,-20882.140,1.230,HARPS-N
2457560.611956,-20887.680,1.070,HARPS-N
2457562.570076,-20886.460,1.180,HARPS-N
2457563.597634,-20883.630,1.540,HARPS-N
2457564.585353,-20884.200,1.640,HARPS-N
2457565.566448,-20883.950,1.260,HARPS-N
2457566.584954,-20890.360,0.850,HARPS-N
2457573.646371,-20889.950,1.090,HARPS-N
2457574.637971,-20885.490,1.130,HARPS-N
2457576.607927,-20884.260,0.880,HARPS-N
2457578.519717,-20889.690,2.380,HARPS-N
2457579.591055,-20886.120,1.570,HARPS-N
2457602.457550,-20880.690,1.090,HARPS-N
2457614.402955,-20887.190,0.880,HARPS-N
2457615.453000,-20891.510,1.710,HARPS-N
2457616.438660,-20889.830,2.170,HARPS-N
2457617.463525,-20885.000,1.210,HARPS-N
2457618.460716,-20883.570,1.540,HARPS-N
2457651.339096,-20883.160,1.060,HARPS-N
2457652.338481,-20888.500,0.970,HARPS-N
2457653.341864,-20891.610,1.030,HARPS-N
2457654.342179,-20891.920,0.970,HARPS-N
2457655.358924,-20885.720,1.400,HARPS-N
2457656.452548,-20885.830,1.140,HARPS-N
2457657.352717,-20890.150,2.000,HARPS-N
2457658.371642,-20889.380,1.510,HARPS-N
2457659.478241,-20888.970,1.070,HARPS-N
2457661.352298,-20887.310,0.890,HARPS-N
2457669.334981,-20891.890,0.860,HARPS-N
2457670.334365,-20890.450,1.260,HARPS-N
2457671.331405,-20888.870,1.020,HARPS-N
2457672.334871,-20885.960,0.870,HARPS-N
2457673.433292,-20887.300,1.120,HARPS-N
2457699.322998,-20889.660,1.030,HARPS-N
2457701.343128,-20891.370,1.150,HARPS-N
2457702.350313,-20894.190,2.090,HARPS-N
2457706.385538,-20888.610,5.280,HARPS-N
2457721.307267,-20891.800,1.670,HARPS-N
2457727.302481,-20892.180,1.100,HARPS-N
2457729.293589,-20895.520,1.290,HARPS-N
2457853.689725,-20918.950,2.570,HARPS-N
