bjd,rv_ms,rv_err_ms,instrument
2456100.509526,-28154.090,1.560,HARPS-N
2456100.530753,-28155.260,1.640,HARPS-N
2456101.440394,-28151.330,2.690,HARPS-N
2456101.461621,-28157.250,2.430,HARPS-N
2456102.483983,-28062.690,33.730,HARPS-N
2456102.495476,-28151.050,2.080,HARPS-N
2456102.516680,-28158.310,2.200,HARPS-N
2456103.438011,-28146.990,3.450,HARPS-N
2456103.459238,-28153.620,3.510,HARPS-N
2456114.428715,-28150.460,1.590,HARPS-N
2456115.459912,-28151.280,1.750,HARPS-N
2456115.481162,-28152.550,1.680,HARPS-N
2456116.467162,-28151.020,1.670,HARPS-N
2456116.488505,-28150.440,1.450,HARPS-N
2456117.423832,-28144.150,2.010,HARPS-N
2456126.471433,-28151.810,1.910,HARPS-N
2456126.492672,-28148.490,1.920,HARPS-N
2456127.480899,-28154.210,1.520,HARPS-N
2456127.502126,-28153.820,1.420,HARPS-N
2456162.430091,-28152.810,2.660,HARPS-N
2456162.451318,-28157.440,2.410,HARPS-N
2456245.384238,-28161.940,2.020,HARPS-N
2456397.606916,-28156.840,2.220,HARPS-N
2456401.595594,-28159.300,4.160,HARPS-N
2456417.717615,-28154.290,1.980,HARPS-N
2456433.632862,-28166.420,1.470,HARPS-N
2456437.561104,-28163.430,1.500,HARPS-N
2456458.419208,-28162.740,2.280,HARPS-N
2456459.410416,-28163.380,2.840,HARPS-N
2456462.538755,-28160.070,2.310,HARPS-N
2456462.641026,-28163.600,1.640,HARPS-N
2456463.524396,-28163.400,2.540,HARPS-N
2456465.568954,-28163.170,2.230,HARPS-N
2456478.681236,-28167.110,1.710,HARPS-N
2456480.666504,-28164.890,1.500,HARPS-N
2456481.703271,-28164.400,2.690,HARPS-N
2456482.665150,-28166.590,7.500,HARPS-N
2456495.534815,-28161.900,1.390,HARPS-N
2456496.614159,-28161.430,1.700,HARPS-N
2456497.593069,-28158.930,1.790,HARPS-N
2456498.565584,-28162.740,1.660,HARPS-N
2456499.509210,-28160.500,1.480,HARPS-N
2456500.515096,-28157.240,1.710,HARPS-N
2456501.522455,-28160.410,1.680,HARPS-N
2456510.475145,-28164.510,1.870,HARPS-N
2456511.401403,-28163.750,1.650,HARPS-N
2456511.422375,-28159.620,1.710,HARPS-N
2456512.402819,-28162.000,1.640,HARPS-N
2456512.423918,-28160.380,1.670,HARPS-N
2456513.395512,-28164.050,1.720,HARPS-N
2456513.416130,-28163.080,1.560,HARPS-N
2456514.480449,-28162.910,1.870,HARPS-N
2456514.501848,-28160.860,1.930,HARPS-N
2456515.469536,-28165.080,2.290,HARPS-N
2456515.490535,-28165.950,2.460,HARPS-N
2456528.503696,-28156.000,2.250,HARPS-N
2456529.519075,-28159.170,1.650,HARPS-N
2456530.384413,-28160.760,1.470,HARPS-N
2456545.399557,-28161.270,1.610,HARPS-N
2456549.382506,-28164.720,2.370,HARPS-N
2456554.539993,-28159.320,2.230,HARPS-N
2456556.465152,-28160.370,2.320,HARPS-N
2456557.397303,-28162.170,1.490,HARPS-N
2456563.421164,-28160.370,1.990,HARPS-N
2456565.403487,-28164.450,1.450,HARPS-N
2456567.396164,-28165.540,1.560,HARPS-N
2456571.393055,-28164.240,2.860,HARPS-N
2456581.434296,-28165.680,2.960,HARPS-N
2456583.340239,-28161.170,1.820,HARPS-N
2456604.326346,-28163.660,1.900,HARPS-N
2458985.590436,-28161.630,2.380,HARPS-N
2459026.620974,-28170.610,2.400,HARPS-N
2459057.543543,-28160.820,3.820,HARPS-N
2459058.535544,-28156.230,3.090,HARPS-N
